task_id,graph_family,cost,score,valid_train,valid_arcgen_sample,model_sha256,compressed_size,uncompressed_size
044,optimizer and simplifier passes,38197,14.449487742521,True,True,47e8634efa8bfb63d542ca96bb92492a0aa3c5073b5754c335af06e6e62fbae5,8045,38702
045,typed tail and graph surgery,7425,16.087392036329,True,True,b4342ccc1700ce90c362a2ae1e45443d301c34d262df138341317c92d0137188,442,969
046,optimizer and simplifier passes,31244,14.650417363270,True,True,e94d9267357e21b1b49d97f82edb186ec6d9ee1ab6cefce5064d1a84524748a2,1497,4580
047,compact artifact selection,3024,16.985664262701,True,True,51caa99fe3ce9cb3e122d3a78119ede0e5beb0d8940d7959bece25bbe098d26a,821,3091
048,compact artifact selection,4389,16.613143310312,True,True,3d787c2b7bb9b001f00f0eb49d2451c7d5206bf5812ff791444a3c9766691ee9,1047,3468
049,typed tail and graph surgery,8559,15.945261360118,True,True,f6d7361e81ab27fbe7620388bebf58e8f3219a69e135f5b0d18110eee0f64b4e,874,2375
050,compact artifact selection,9025,15.892246216799,True,True,f994ca2915ff480c54ac138b11d50b928891f39b284055bb80050aa35e7768d4,637,1939
051,optimizer and simplifier passes,22055,14.998705387461,True,True,2e1bbba192d4d347403b0f1d38f10ecc105bad9133bea63c966cf00fb9193cce,1049,3039
052,compact artifact selection,1228,17.886857891293,True,True,195c01dfdaae84b9a7a585295b8d44c1c3741ab522a7e9d472753ad121d8014d,507,986
053,compact artifact selection,30,21.598802618338,True,True,11d2a84ba10862f37e4dae8a206314fd4226f70b6f751eed23e52ba32ebde353,114,175
054,compact artifact selection,89096,13.602530280927,True,True,2fba3c51a72e0fde99e761f3b9e8c2c096bf2ce3181b36b60fcc1b47f1e71c46,12369,40187
055,compact artifact selection,26225,14.825531566736,True,True,a5929a892a7d7963f57b4f9c8539062824e547ac8b2ca5dbb4d8cf495389fbb5,769,3952
056,compact artifact selection,213,19.638707834291,True,True,9d687659145a785dd2d111cccd06fc2b802bcaaae0c2926b7d39a51406e1254b,445,815
057,compact artifact selection,8070,16.004091238736,True,True,ec0c08d9f28606d0a5702e3311baf8a8ea4572d082b65c9bd97ff21758310503,556,1312
058,compact artifact selection,14930,15.388872109467,True,True,51046bb2be5a546df8e9ae502765b9e2f2a1afad482c6e4d8852fd25ef927cf5,1094,7837
059,compact artifact selection,20387,15.077347278203,True,True,6f93fccf92e34dbb6b51e75c53fd4882a6ba090c755d7c47d23c132b936f7520,916,6897
060,compact artifact selection,5581,16.372876749212,True,True,03687375b7e8938e4f841fe856da30c83884468ff07c648d7021c6b6748784bd,715,2458
