route,task_count,strict_score,teacher_score,strict_cost_sum,teacher_cost_sum,p0_count,p1_count,teacher_gain_vs_strict,strict_avg_points,teacher_avg_points
sparse_edit_or_object_completion,249,3894.3646810754703,4046.4885790506896,8629387,3371156,17,74,152.12389797521928,15.640018799499881,16.25095814879795
crop_or_resize,139,2218.132744383049,2262.2305280517967,4437597,2076227,1,44,44.097783668747525,15.957789527935605,16.27503977015681
same_shape_global_transform,12,169.73280263429055,170.67971751531337,730483,663645,0,10,0.9469148810228205,14.144400219524213,14.22330979294278
