exp_id,task_id,template_name,pattern,status,validation_status,baseline_cost,candidate_cost,cost_ratio,point_delta,reason,decision
exp016_top100_rewrite_campaign,286,neighbor_fill_cross_3_4,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_3_1,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_3_2,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_3_3,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_3_4,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_3_5,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_3_6,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_3_7,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_3_8,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_hline_4_1,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_hline_4_2,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_vline_4_1,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_vline_4_2,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_cross_4_1,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_cross_4_2,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_cross_4_3,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_cross_4_4,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_4_1,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_4_2,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_4_3,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_4_4,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_4_5,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_4_6,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_4_7,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_4_8,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_hline_5_1,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_hline_5_2,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_vline_5_1,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_vline_5_2,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_cross_5_1,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_cross_5_2,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_cross_5_3,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_cross_5_4,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_5_1,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
