task_id,route,template_name,baseline_cost,candidate_cost,baseline_points,candidate_points,file_bytes,validation_status,status,reason,sha256
80,same_shape_global_transform,logic_Equal_node48_to_input0,41282,41182,14.371818151405797,14.374243453331909,12032,21_pass_0_fail,improved,ok,8913caecd8835556ad24bb752a0129e7783b77884eafbe4480f0d382f4d86548
86,sparse_edit_or_object_completion,logic_Less_node16_to_input0,25713,25569,14.845248020433008,14.850864040809594,4437,24_pass_0_fail,improved,ok,2049bd6fbae072463ed7e40466eb3ec8fd78c544c526a1b0b0f782b0f01681f6
138,crop_or_resize,logic_Or_node67_to_input0,48467,47567,14.211361567031112,14.230105477519256,7608,24_pass_0_fail,improved,ok,faa5d28580487ba6ac7ca9f5fc88f8e9302f0d281dbcb0d3f8619a0201892d60
148,sparse_edit_or_object_completion,logic_Greater_node105_to_input0,22029,21741,14.99988495388028,15.013044842222609,10220,24_pass_0_fail,improved,ok,b595711b9ea79fa031f591103db0e76a97dfcec924bb2dab9d3362d7902d93d8
187,same_shape_global_transform,logic_Or_node68_to_input1,103513,102613,13.45254751233521,13.461280090654656,7728,24_pass_0_fail,improved,ok,581948019d2698d39a647dd2b630150c04ba54de4d17d605acd0e84a5c46a24b
289,crop_or_resize,logic_Less_node11_to_input1,24972,24509,14.874489523818365,14.893204323983774,2420,26_pass_0_fail,improved,ok,cd9c96894dd80a6a318f2220c555cc30389244f28a7d405c6abb6d51ccb0741a
