task_id,top20_frequency,exact_gap_frequency,weighted_frequency,source,route,cost,points,risk_score,input_shape_count,output_shape_count,max_input_area,max_output_area,node_count,initializer_count,initializer_bytes,top_ops,has_matmul,has_scatternd,has_gathernd,has_where,has_conv
13,20,4,3.59774,massimilianoghiotto_6254,sparse_edit_or_object_completion,116882,13.3310798421544,3.01882,129,129,360,360,91,16,4538,Conv:20 ReduceMax:18 Greater:14 Where:13 Mul:10 Cast:9 ReduceSum:2 Sum:2,0,0,0,1,1
2,20,4,3.59774,massimilianoghiotto_6254,sparse_edit_or_object_completion,97293,13.514517676859928,2.82293,15,15,400,400,95,31,672,Conv:24 Greater:23 Where:21 Slice:11 Sub:6 Cast:3 Sum:2 ReduceSum:1,0,0,0,1,1
29,20,4,3.59774,massimilianoghiotto_6254,crop_or_resize,97117,13.516328283804857,2.77117,167,182,625,396,88,15,808,Cast:12 Sub:12 Greater:9 Add:9 ArgMax:8 Mul:7 Gather:6 ReduceMax:5,0,0,0,1,1
9,20,4,3.59774,massimilianoghiotto_6254,sparse_edit_or_object_completion,81241,13.69482467517415,2.66241,5,5,841,841,22,6,29306,MatMul:4 Greater:4 Cast:2 And:2 Transpose:2 GatherND:1 Reshape:1 Or:1,1,0,1,0,0
24,19,4,3.53524,massimilianoghiotto_6254,sparse_edit_or_object_completion,9080,15.88617052840466,1.7908,92,92,225,225,27,11,505,Cast:7 And:5 Slice:4 Or:4 ReduceMax:3 Not:2 Concat:1 Pad:1,0,0,0,0,0
18,18,4,3.475517,kojimar_5800_minimal_blend,sparse_edit_or_object_completion,114578,13.35098890724301,2.74578,109,109,576,576,22,16,47864,ReduceSum:3 Slice:2 Mul:2 Concat:2 Sub:2 Unsqueeze:1 MatMul:1 Abs:1,1,0,0,0,0
4,17,4,3.312386,massimilianoghiotto_6254,sparse_edit_or_object_completion,55020,14.084547965521434,2.4002,78,78,256,256,4,4,2040,Conv:2 Cast:1 Relu:1,0,0,0,0,1
19,19,3,3.34774,massimilianoghiotto_6254,crop_or_resize,81346,13.69353305881371,2.61346,25,25,36,144,32,13,500,Cast:4 ReduceSum:4 Add:3 ReduceMax:2 Mod:2 Less:2 Where:2 Gather:2,0,1,0,1,1
32,17,3,3.105583,massimilianoghiotto_6254,sparse_edit_or_object_completion,3405,16.86699978141639,1.73405,3,3,36,36,19,10,340,Sub:3 ReduceSum:2 Cast:2 Slice:1 Conv:1 Sign:1 Sqrt:1 Greater:1,0,0,0,1,1
50,15,3,2.900226,afr1ste_5689_artifact,sparse_edit_or_object_completion,9475,15.843587970049374,1.79475,132,132,210,210,21,9,425,Cast:8 CumSum:4 And:3 Slice:2 Or:1 Xor:1 Concat:1 Pad:1,0,0,0,0,0
16,15,3,2.900226,massimilianoghiotto_6254,sparse_edit_or_object_completion,10,22.697414907005953,0.5001,1,1,9,9,1,1,80,Gather:1,0,0,0,0,0
31,13,3,2.873643,massimilianoghiotto_6254,crop_or_resize,18616,15.168223295017873,1.83616,3,23,144,42,26,13,412,ArgMax:4 Where:3 ReduceSum:2 Greater:2 Cast:2 Sub:2 Add:2 Gather:2,0,0,0,1,0
21,13,3,2.829199,massimilianoghiotto_6254,crop_or_resize,51223,14.156056071090937,2.31223,255,36,4340,49,214,21,14794,Cast:52 ReduceMax:33 Equal:27 ReduceSum:20 Greater:19 Add:15 And:10 Not:9,0,0,0,1,1
14,13,3,2.563326,massimilianoghiotto_6254,crop_or_resize,39049,14.427427453254685,2.19049,104,87,625,168,42,17,2725,Reshape:7 Add:7 Cast:5 ArgMax:5 Where:3 Gather:2 ReduceMax:2 Sub:2,0,0,0,1,0
25,12,3,2.802215,franksunp_blended_best,sparse_edit_or_object_completion,89286,13.600400020341894,2.49286,182,182,900,900,10,5,60944,Cast:2 ReduceSum:1 MatMul:1 Equal:1 ArgMax:1 Gather:1 Flatten:1 ScatterElements:1,1,0,0,0,0
8,14,2,2.56531,massimilianoghiotto_6254,sparse_edit_or_object_completion,23289,14.94426357492621,1.93289,79,79,256,256,78,21,321,Sub:12 ReduceMax:8 Mul:8 Sum:8 Less:8 Where:5 And:5 ReduceMin:4,0,0,0,1,0
366,10,2,2.062897,massimilianoghiotto_6254,crop_or_resize,836880,11.362564029982357,3.8,60,30,510,255,723,42,9452,Where:145 And:111 Equal:77 Cast:61 ReduceSum:44 Greater:25 Tile:25 Or:22,0,1,0,1,1
77,10,2,1.406636,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,sparse_edit_or_object_completion,157494,13.032857358715912,3.17494,18,18,420,420,68,20,3921,Mul:15 Sub:9 MaxPool:8 Cast:7 Reshape:6 And:5 Gather:4 Sum:2,0,0,0,1,0
64,10,2,1.406636,massimilianoghiotto_6254,sparse_edit_or_object_completion,114153,13.354705067178468,2.99153,168,168,552,552,68,20,692,And:10 Greater:9 Cast:8 CumSum:8 Equal:6 Slice:5 Pad:5 Or:5,0,0,0,1,1
67,10,2,1.406636,massimilianoghiotto_6254,crop_or_resize,315,19.247427361174367,1.65315,4,4,75,25,7,4,132,ReduceMax:1 Conv:1 ReduceSum:1 Div:1 Sum:1 Greater:1 Where:1,0,0,0,1,1
53,10,2,1.406636,massimilianoghiotto_6254,sparse_edit_or_object_completion,30,21.598802618337846,0.5003,1,1,9,9,1,1,240,Gather:1,0,0,0,0,0
56,10,2,1.406636,massimilianoghiotto_6254,crop_or_resize,213,19.638707834290575,0.45213,1,1,9,1,9,3,154,Slice:1 Cast:1 Sub:1 Conv:1 ArgMax:1 Squeeze:1 Gather:1 Unsqueeze:1,0,0,0,0,1
23,9,2,2.048247,franksunp_blended_best,sparse_edit_or_object_completion,21433,15.027312930662868,1.66433,6,6,99,99,14,13,2080,Gather:6 Conv:2 Relu:1 Greater:1 Where:1 Sub:1 Concat:1 Pad:1,0,0,0,1,1
34,8,2,2.064181,afr1ste_5689_artifact,sparse_edit_or_object_completion,106316,13.425828929592994,1.71316,1,1,81,81,79,16,4854,And:21 Less:12 ReduceSum:8 Where:7 Sum:5 Sub:5 Equal:4 Or:4,0,0,0,1,1
36,8,2,1.824437,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,crop_or_resize,79944,13.710918331458375,1.74944,1,11,900,25,56,17,764,Gather:8 Add:8 Sub:7 Reshape:6 Cast:5 ArgMax:5 Mul:4 Less:4,0,0,0,1,0
49,7,2,2.11859,massimilianoghiotto_6254,crop_or_resize,30489,14.674878758194124,1.95489,104,57,400,84,29,12,792,Cast:5 Reshape:5 ReduceSum:3 Where:3 Greater:2 Add:2 Gather:2 ReduceMax:2,0,0,0,1,0
51,6,2,1.99359,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,sparse_edit_or_object_completion,68429,13.866448009633856,2.28429,107,107,400,400,58,12,542,And:10 ReduceMax:7 Unsqueeze:7 Equal:7 ArgMax:6 Slice:4 Greater:4 Or:3,0,0,0,1,0
85,9,1,0.906636,massimilianoghiotto_6254,sparse_edit_or_object_completion,113178,13.36328292042622,2.98178,18,18,480,480,20,14,420,Mul:8 Conv:3 Sub:3 Cast:1 Slice:1 ReduceSum:1 Floor:1 Sum:1,0,0,0,0,1
5,8,1,1.141104,massimilianoghiotto_6254,sparse_edit_or_object_completion,117225,13.328149556042213,1.82225,1,1,441,441,106,19,708,Conv:19 Greater:18 Where:16 Mul:9 ReduceMax:8 And:8 Or:7 Relu:6,0,0,0,1,1
