task_id,cost,local_points,initializer_count,initializer_params,unused_count,unused_params,duplicate_groups,duplicate_wasted_params,uniform_safe_count,uniform_safe_saveable_params,total_seddik_style_saveable,primary_category,transformations,cost_gap_to_600,cost_gap_to_250
286,162199,13.00342074458367,20,1302,0,0,0,0,0,0,0,Pattern_Recognition,Object Detection | Gravity | Color Mapping | Filling Regions,5.599649600200182,6.475118337554084
285,151996,13.068390516307327,13,24355,0,0,0,0,0,0,0,Pattern_Recognition,Translation | Shifting | Object Detection | Color Mapping | Filling Regions | Line Extrapolation,5.534679828476525,6.410148565830427
54,150548,13.07796275080141,16,161,0,0,0,0,0,0,0,Pattern_Recognition,Translation | Shifting | Object Detection | Shape Matching | Color Mapping | Symmetry Completion | Filling Regions,5.525107593982442,6.400576331336344
396,143389,13.126683504302262,20,5446,0,0,0,0,0,0,0,Pattern_Recognition,Cropping | Object Detection | Color Mapping | Filling Regions,5.47638684048159,6.351855577835492
71,129780,13.22640401182484,12,930,0,0,0,0,0,0,0,Object_Based,Translation | Shifting | Object Detection | Gravity | Color Mapping | Filling Regions,5.376666332959012,6.252135070312914
202,125720,13.258187509088495,5,14,0,0,0,0,0,0,0,Object_Based,Gravity,5.344882835695357,6.220351573049259
5,117225,13.328149556042213,19,336,0,0,0,0,0,0,0,Pattern_Recognition,Tiling | Object Detection | Color Mapping | Filling Regions,5.274920788741639,6.150389526095541
13,116882,13.3310798421544,16,2257,0,0,0,0,0,0,0,Pattern_Recognition,Tiling | Object Detection | Color Mapping | Filling Regions,5.271990502629452,6.147459239983354
18,114578,13.35098890724301,16,11930,0,0,0,0,0,0,0,Object_Based,Translation | Shifting | Object Detection | Gravity,5.252081437540841,6.127550174894743
64,114153,13.354705067178468,20,92,0,0,0,0,0,0,0,Object_Based,Translation | Gravity,5.248365277605384,6.123834014959286
85,113178,13.36328292042622,14,138,0,0,0,0,0,0,0,Pattern_Recognition,Object Detection | Color Mapping | Filling Regions,5.2397874243576315,6.1152561617115335
205,112313,13.370955104619776,76,1722,0,0,0,0,0,0,0,Pattern_Recognition,Cropping | Outlier Detection | Color Mapping | Filling Regions,5.232115240164076,6.107583977517978
382,107354,13.416112936092428,91,458,0,0,0,0,0,0,0,Object_Based,Translation | Shifting | Object Detection | Gravity | Filling Regions,5.186957408691423,6.0624261460453255
34,106316,13.425828929592994,16,2847,0,0,0,0,0,0,0,Object_Based,Translation | Shifting | Object Detection | Gravity | Color Mapping | Filling Regions,5.177241415190858,6.05271015254476
187,105313,13.435307852707972,14,913,0,0,0,0,0,0,0,Pattern_Recognition,Color Mapping | Filling Regions,5.16776249207588,6.043231229429782
204,104544,13.442636685599203,11,1044,0,0,0,0,0,0,0,Color_and_Logical,Object Detection | Flood Fill | Color Mapping | Filling Regions,5.160433659184649,6.035902396538551
198,103821,13.449576458609688,14,913,0,0,0,0,0,0,0,Pattern_Recognition,Color Mapping | Filling Regions,5.153493886174164,6.0289626235280664
216,103572,13.451977697992342,10,100,0,0,0,0,0,0,0,Object_Based,Cropping | Object Detection,5.1510926467915095,6.0265613841454115
251,100580,13.481291290274044,13,20,0,0,0,0,0,0,0,Pattern_Recognition,Object Detection | Flood Fill | Filling Regions,5.121779054509808,5.99724779186371
2,97293,13.514517676859928,31,93,0,0,0,0,0,0,0,Pattern_Recognition,Object Detection | Color Mapping | Filling Regions,5.088552667923924,5.964021405277826
29,97117,13.516328283804857,15,170,0,0,0,0,0,0,0,Spatial_and_Geometric,Cropping,5.086742060978995,5.962210798332897
109,94878,13.539652865248629,14,954,0,0,0,0,0,0,0,Pattern_Recognition,Reflection | Object Detection | Color Mapping | Symmetry Completion,5.063417479535223,5.938886216889125
239,94477,13.54388830238479,19,386,0,0,0,0,0,0,0,Object_Based,Translation | Sorting | Color Mapping | Filling Regions,5.059182042399062,5.934650779752964
201,92700,13.562876248446054,20,308,0,0,0,0,0,0,0,Object_Based,Cropping | Object Detection | Filling Regions,5.040194096337798,5.9156628336917
208,92273,13.56749314667969,39,522,0,0,0,0,0,0,0,Pattern_Recognition,Translation | Object Detection | Color Mapping | Filling Regions,5.035577198104162,5.9110459354580644
280,90506,13.586828574167079,16,880,0,0,0,0,0,0,0,Object_Based,Translation | Shifting | Object Detection | Gravity | Color Mapping | Filling Regions,5.016241770616773,5.891710507970675
159,89501,13.597994922615115,16,4105,0,0,0,0,0,0,0,Object_Based,Cropping | Shifting | Object Detection | Shape Matching | Color Mapping | Filling Regions,5.005075422168737,5.880544159522639
25,89286,13.600400020341894,5,15232,0,0,0,0,0,0,0,Object_Based,Translation | Shifting | Object Detection | Gravity | Filling Regions,5.002670324441958,5.87813906179586
281,88615,13.60794357751076,15,987,0,0,0,0,0,0,0,Pattern_Recognition,Magnification | Filling Regions,4.995126767273092,5.870595504626994
203,88402,13.610350127195805,15,690,0,0,0,0,0,0,0,Color_and_Logical,Color Mapping,4.992720217588047,5.8681889549419495
126,86091,13.636839844664504,11,47,0,0,0,0,0,0,0,Object_Based,Object Detection | Sorting | Color Mapping | Filling Regions,4.966230500119348,5.84169923747325
398,84295,13.657922169750098,26,762,0,0,0,0,0,0,0,Pattern_Recognition,Shifting | Line Extrapolation,4.945148175033754,5.820616912387656
69,84250,13.658456151785392,41,1392,0,0,0,0,0,0,0,Object_Based,Translation | Object Detection | Color Swapping,4.9446141929984595,5.820082930352362
275,83879,13.662869436848247,26,2773,0,0,0,0,0,0,0,Object_Based,Tiling | Magnification | Object Detection | Sorting | Color Mapping | Filling Regions,4.940200907935605,5.815669645289507
313,83572,13.666536185257858,12,4547,0,0,0,0,0,0,0,Color_and_Logical,Translation | Shifting | Color Swapping,4.936534159525994,5.812002896879896
234,81703,13.689154000119816,14,82,0,0,0,0,0,0,0,Object_Based,Translation | Gravity,4.913916344664036,5.7893850820179384
19,81346,13.69353305881371,13,70,0,0,0,0,0,0,0,Spatial_and_Geometric,Tiling | Cropping | Object Detection | Color Mapping | Filling Regions,4.909537285970142,5.785006023324044
9,81241,13.69482467517415,6,3841,0,0,0,0,0,0,0,Pattern_Recognition,Object Detection | Color Mapping | Filling Regions,4.908245669609702,5.783714406963604
303,80710,13.701382237681582,4,310,0,0,0,0,0,0,0,Color_and_Logical,Color Mapping | Filling Regions,4.90168810710227,5.777156844456172
264,79536,13.716034971665547,17,2172,0,0,0,0,0,0,0,Object_Based,Cropping | Object Detection | Sorting | Color Mapping | Filling Regions,4.887035373118305,5.762504110472207
170,78564,13.728331141770909,33,249,0,0,0,0,0,0,0,Pattern_Recognition,Cropping | Object Detection | Color Mapping | Filling Regions,4.874739203012943,5.750207940366845
364,77859,13.737345222483407,23,963,0,0,0,0,0,0,0,Color_and_Logical,Object Detection | Shape Matching | Color Mapping,4.865725122300445,5.741193859654347
300,77546,13.741373412351637,14,108,0,0,0,0,0,0,0,Object_Based,Cropping | Object Detection,4.861696932432215,5.737165669786117
384,74722,13.778470160860206,13,106,0,0,0,0,0,0,0,Spatial_and_Geometric,Translation | Tiling | Object Detection | Symmetry Completion,4.824600183923646,5.700068921277548
255,74403,13.782748457411104,30,6570,0,0,0,0,0,0,0,Pattern_Recognition,Flood Fill | Color Mapping | Filling Regions,4.820321887372748,5.69579062472665
107,73131,13.799992367549814,30,13681,0,0,0,0,0,0,0,Spatial_and_Geometric,Tiling | Cropping | Object Detection | Color Mapping | Symmetry Completion,4.803077977234038,5.67854671458794
88,72766,13.80499590787612,20,120,0,0,0,0,0,0,0,Object_Based,Cropping | Object Detection | Filling Regions,4.798074436907731,5.673543174261633
379,72499,13.808671952355807,29,1730,0,0,0,0,0,0,0,Object_Based,Translation | Shifting | Gravity | Object Detection | Color Mapping | Filling Regions,4.794398392428045,5.669867129781947
137,72472,13.809044440650876,9,966,0,0,0,0,0,0,0,Pattern_Recognition,Translation | Shifting | Object Detection | Color Mapping | Filling Regions,4.794025904132976,5.669494641486878
340,70342,13.83887566105239,25,162,0,0,0,0,0,0,0,Object_Based,Translation | Shifting | Gravity | Sorting,4.764194683731462,5.6396634210853644
145,69757,13.847226946929018,34,933,0,0,0,0,0,0,0,Pattern_Recognition,Object Detection | Color Mapping | Filling Regions,4.755843397854834,5.631312135208736
328,68053,13.871957907660665,20,1126,0,0,0,0,0,0,0,Pattern_Recognition,Tiling | Object Detection | Gravity | Color Mapping | Filling Regions,4.731112437123187,5.606581174477089
243,67878,13.874532744845478,17,11827,0,0,0,0,0,0,0,Color_and_Logical,Flood Fill,4.728537599938374,5.604006337292276
165,67524,13.87976163077872,15,994,0,0,0,0,0,0,0,Pattern_Recognition,Object Detection | Color Mapping | Filling Regions,4.723308714005132,5.598777451359034
209,67337,13.882534858321867,12,44843,0,0,0,0,0,0,0,Pattern_Recognition,Cropping | Object Detection | Sorting | Color Mapping | Filling Regions,4.720535486461985,5.596004223815887
11,66247,13.898854540195707,22,2331,0,0,0,0,0,0,0,Object_Based,Object Detection | Sorting | Color Mapping | Filling Regions,4.704215804588145,5.579684541942047
70,66138,13.90050125280863,16,78,0,0,0,0,0,0,0,Pattern_Recognition,Object Detection | Color Mapping | Filling Regions,4.7025690919752225,5.578037829329125
301,64988,13.91804208355036,11,1848,0,0,0,0,0,0,0,Object_Based,Translation | Gravity,4.685028261233493,5.560496998587395
306,64444,13.926448091389123,33,70,0,0,0,0,0,0,0,Pattern_Recognition,Reflection | Symmetry Completion,4.676622253394729,5.552090990748631
238,64372,13.927565965061614,40,1467,0,0,0,0,0,0,0,Pattern_Recognition,Cropping | Object Detection | Color Mapping | Filling Regions,4.675504379722238,5.55097311707614
37,63726,13.937652078450405,13,8326,0,0,0,0,0,0,0,Object_Based,Translation | Gravity,4.665418266333447,5.540887003687349
387,63558,13.940291846175448,25,88,0,0,0,0,0,0,0,Pattern_Recognition,Reflection | Object Detection | Shape Matching | Color Mapping | Symmetry Completion | Filling Regions,4.662778498608404,5.538247235962306
233,63540,13.940575092176493,16,14404,0,0,0,0,0,0,0,Pattern_Recognition,Cropping | Object Detection | Color Mapping | Filling Regions,4.662495252607359,5.537963989961261
90,63354,13.94350667496543,41,104,0,0,0,0,0,0,0,Pattern_Recognition,Outlier Detection | Color Mapping | Filling Regions,4.6595636698184215,5.535032407172324
162,63291,13.944501582071068,11,43,0,0,0,0,0,0,0,Pattern_Recognition,Outlier Detection | Color Mapping | Filling Regions,4.658568762712784,5.534037500066686
377,61924,13.966336894339644,13,84,0,0,0,0,0,0,0,Pattern_Recognition,Cropping | Object Detection | Filling Regions,4.636733450444208,5.51220218779811
177,61194,13.978195575521427,16,102,0,0,0,0,0,0,0,Object_Based,Cropping | Object Detection | Background Separation,4.624874769262425,5.500343506616327
118,60026,13.997466919324204,10,10040,0,0,0,0,0,0,0,Color_and_Logical,Object Detection | Outlier Detection | Color Mapping | Filling Regions,4.605603425459648,5.48107216281355
185,59584,14.00485763936326,19,67,0,0,0,0,0,0,0,Pattern_Recognition,Object Detection | Sorting | Color Mapping | Filling Regions,4.5982127054205915,5.4736814427744935
112,59270,14.010141445218116,18,106,0,0,0,0,0,0,0,Pattern_Recognition,Translation | Object Detection | Symmetry Completion,4.592928899565736,5.468397636919638
330,59024,14.014300580163543,12,2824,0,0,0,0,0,0,0,Object_Based,Object Detection | Sorting | Color Mapping,4.588769764620309,5.4642385019742115
365,58814,14.01786479921536,12,71,0,0,0,0,0,0,0,Spatial_and_Geometric,Cropping,4.585205545568492,5.460674282922394
222,58035,14.031198444197276,11,87,0,0,0,0,0,0,0,Object_Based,Object Detection | Sorting | Background Separation | Filling Regions,4.571871900586576,5.447340637940478
221,55869,14.069235056400384,26,5028,0,0,0,0,0,0,0,Spatial_and_Geometric,Tiling,4.533835288383468,5.40930402573737
97,55812,14.070255820987903,1,9,0,0,0,0,0,0,0,Object_Based,Gravity,4.532814523795949,5.408283261149851
33,55161,14.081988539178049,6,49,0,0,0,0,0,0,0,Pattern_Recognition,Object Detection | Shape Matching | Color Mapping | Symmetry Completion | Filling Regions,4.521081805605803,5.396550542959705
4,55020,14.084547965521434,4,1020,0,0,0,0,0,0,0,Spatial_and_Geometric,Translation,4.518522379262418,5.39399111661632
363,54241,14.098807640977503,18,6448,0,0,0,0,0,0,0,Pattern_Recognition,Outlier Detection | Color Mapping | Filling Regions,4.504262703806349,5.379731441160251
193,53661,14.109558240338645,12,61,0,0,0,0,0,0,0,Object_Based,Gravity | Object Detection,4.493512104445207,5.368980841799109
174,52019,14.140635684557754,24,74,0,0,0,0,0,0,0,Object_Based,Cropping | Object Detection,4.462434660226098,5.33790339758
192,51968,14.14161657647865,10,70,0,0,0,0,0,0,0,Color_and_Logical,Outlier Detection | Color Mapping,4.461453768305201,5.336922505659103
91,51466,14.151323325547068,14,78,0,0,0,0,0,0,0,Pattern_Recognition,Cropping | Object Detection | Color Mapping | Filling Regions,4.451747019236784,5.327215756590686
21,51223,14.156056071090937,21,1861,0,0,0,0,0,0,0,Spatial_and_Geometric,Cropping,4.447014273692915,5.322483011046817
197,50688,14.166555524825903,7,16,0,0,0,0,0,0,0,Pattern_Recognition,Tiling | Filling Regions,4.436514819957949,5.3119835573118515
213,50225,14.175731810316865,33,220,0,0,0,0,0,0,0,Object_Based,Cropping | Object Detection | Sorting | Background Separation,4.427338534466987,5.302807271820889
367,49772,14.184792144104478,27,6406,0,0,0,0,0,0,0,Pattern_Recognition,Object Detection | Color Mapping | Filling Regions,4.418278200679374,5.2937469380332765
89,49703,14.186179427563964,24,98,0,0,0,0,0,0,0,Object_Based,Translation | Object Detection | Gravity | Color Mapping | Filling Regions,4.416890917219888,5.29235965457379
349,49480,14.190676173493577,11,3580,0,0,0,0,0,0,0,Object_Based,Translation | Shifting | Object Detection | Gravity | Color Mapping | Filling Regions,4.412394171290275,5.287862908644177
324,48870,14.203081009735799,18,1672,0,0,0,0,0,0,0,Object_Based,Translation | Shifting | Object Detection | Sorting | Color Mapping | Filling Regions,4.399989335048053,5.275458072401955
138,48467,14.211361567031112,17,125,0,0,0,0,0,0,0,Object_Based,Cropping | Object Detection | Sorting | Color Mapping | Filling Regions,4.39170877775274,5.267177515106642
253,48269,14.215455188361384,13,439,0,0,0,0,0,0,0,Object_Based,Cropping | Object Detection | Sorting,4.387615156422468,5.26308389377637
219,47688,14.227564927100238,17,28282,0,0,0,0,0,0,0,Pattern_Recognition,Object Detection | Color Mapping | Filling Regions,4.375505417683614,5.250974155037516
92,46289,14.25734036914603,11,29,0,0,0,0,0,0,0,Pattern_Recognition,Object Detection | Gravity | Flood Fill | Filling Regions,4.345729975637822,5.221198712991724
335,46249,14.258204878914801,11,93,0,0,0,0,0,0,0,Object_Based,Object Detection | Gravity | Color Mapping | Filling Regions,4.34486546586905,5.2203342032229525
154,45574,14.27290734254795,14,990,0,0,0,0,0,0,0,Object_Based,Translation | Shifting | Gravity,4.330163002235903,5.205631739589805
224,45458,14.275455898281896,17,182,0,0,0,0,0,0,0,Pattern_Recognition,Object Detection | Shape Matching | Color Mapping | Filling Regions,4.327614446501956,5.203083183855858
338,45016,14.285226738886886,9,1816,0,0,0,0,0,0,0,Object_Based,Translation | Cropping | Object Detection | Shape Matching | Color Mapping | Filling Regions,4.317843605896966,5.193312343250868
131,44550,14.295632567101045,17,951,0,0,0,0,0,0,0,Object_Based,Translation | Shifting | Object Detection | Gravity | Color Mapping | Filling Regions,4.307437777682807,5.182906515036709
325,43022,14.330533108254256,22,1902,0,0,0,0,0,0,0,Object_Based,Cropping | Object Detection | Filling Regions,4.272537236529596,5.148005973883498
359,42313,14.347150353576192,4,13,0,0,0,0,0,0,0,Pattern_Recognition,Outlier Detection | Color Mapping | Filling Regions,4.25591999120766,5.1313887285615625
265,39162,14.424537832136728,11,129,0,0,0,0,0,0,0,Pattern_Recognition,Color Mapping | Filling Regions,4.1785325126471236,5.054001250001026
14,39049,14.427427453254685,17,650,0,0,0,0,0,0,0,Object_Based,Cropping | Object Detection | Color Mapping,4.175642891529167,5.051111628883069
378,39008,14.428477967719003,16,76,0,0,0,0,0,0,0,Object_Based,Translation | Shifting | Object Detection | Gravity | Filling Regions,4.174592377064849,5.050061114418751
184,38855,14.432407952356657,20,9975,0,0,0,0,0,0,0,Object_Based,Object Detection | Sorting | Color Mapping | Filling Regions,4.170662392427195,5.046131129781097
231,38342,14.445698819920006,12,101,0,0,0,0,0,0,0,Pattern_Recognition,Tiling | Filling Regions,4.157371524863846,5.032840262217748
215,38094,14.452187931601495,7,112,0,0,0,0,0,0,0,Spatial_and_Geometric,Tiling,4.150882413182357,5.026351150536259
