compiler_lane,tasks,gain_to_600,gain_to_250,top_tasks,top_transformations
LOCAL_PREDICATE_FILL_COMPILER,139,496.11512617648935,616.9298119313279,173 077 158 133 071 285 085 251 383 054 370 358,"{""Filling Regions"": 133, ""Color Mapping"": 112, ""Object Detection"": 106, ""Translation"": 46, ""Gravity"": 38, ""Shifting"": 27, ""Flood Fill"": 18, ""Shape Matching"": 13, ""Sorting"": 13, ""Tiling"": 8}"
CROP_SHAPE_COMPILER,141,395.4525071043978,510.14979062703406,366 396 216 205 300 239 029 201 170 036 109 398,"{""Object Detection"": 95, ""Cropping"": 87, ""Color Mapping"": 73, ""Filling Regions"": 61, ""Sorting"": 29, ""Tiling"": 25, ""Symmetry Completion"": 19, ""Translation"": 10, ""Reflection"": 10, ""Outlier Detection"": 7}"
OBJECT_MOVE_COMPILER,53,156.58266391518134,198.10538752058923,064 202 018 206 128 069 340 234 313 157 301 037,"{""Translation"": 38, ""Gravity"": 36, ""Object Detection"": 27, ""Color Mapping"": 16, ""Shifting"": 10, ""Sorting"": 7, ""Color Swapping"": 5, ""Tiling"": 2, ""Collision Detection"": 2, ""Intersection Finding"": 1}"
COLOR_ROLE_COMPILER,38,92.60208914590466,123.10805698239614,364 203 192 330 182 252 293 196 279 169 143 023,"{""Color Mapping"": 34, ""Object Detection"": 23, ""Sorting"": 13, ""Color Swapping"": 5, ""Outlier Detection"": 4, ""Shape Matching"": 3, ""Collision Detection"": 2, ""In-painting"": 1, ""Rotation"": 1}"
SYMMETRY_LINE_COMPILER,21,63.23483860483541,80.74421335191346,020 112 306 232 228 287 168 119 084 117 361 141,"{""Symmetry Completion"": 15, ""Reflection"": 13, ""Object Detection"": 11, ""Color Mapping"": 9, ""Translation"": 6, ""Line Extrapolation"": 4, ""Sorting"": 3, ""Rotation"": 2, ""Shifting"": 1, ""Tiling"": 1}"
TILE_SCALE_COMPILER,3,11.684002910647813,14.310409122709519,215 343 082,"{""Tiling"": 3}"
REGION_FILL_COMPILER,1,5.2040158445440206,6.079484581897923,110,"{""Filling Regions"": 1}"
GENERAL_DSL_SYNTHESIS,4,0.524728528934979,2.1734413069022516,150 140 087 179,"{""Rotation"": 4, ""Color Swapping"": 1, ""Sorting"": 1}"
