task_id,task_name,source,ok,sha256,points,memory,params,cost,reason
32,task032.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,ceb4063280bf7df98b687efafb01b5fdedc714737f65b70a50c4a70a941c330a,18.186555400489105,0,910,910,ok
33,task033.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,aa9357a8f5fca19d81a770db89eccf1e5fbed345d52ef426096832c34f6c15a8,17.59815842125617,1606,33,1639,ok
34,task034.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,efc1a04231a27deb7526ea1ea8f9563f0f1ae66f58a1f81427e79ab065b9aa18,17.231466699073966,2198,167,2365,ok
35,task035.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,78f6ddc377836ce17d34fb019dae546e16f508f5d7f2dcf1859efac0c7f0e754,16.94961554693298,2994,141,3135,ok
36,task036.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,44fba614f66382d1078ceb883979570a3d9780ce758d8bf87b5b29fe802fff4d,17.31429693876545,2140,37,2177,ok
37,task037.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,d7fae58854a549ee6b3bd51ac32106ce86dd885faae471571f2da1c6d834999f,16.534942563004293,4614,132,4746,ok
38,task038.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,c4776de59a95731af1b97ef08b61bd62db867c2ddd6b9d2039ce294a0817b7de,19.638707834290575,163,50,213,ok
39,task039.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,a6f276c32e372cf8e51ca3034453f924cb480610a8607a5ce52d19bbd4dca813,18.826213896098064,424,56,480,ok
40,task040.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,f335f4b5e01fb9e2c9610e63b72f9db3b4d4f4fba79cb92436db36ca4f9c6d0b,19.07574420258547,240,134,374,ok
41,task041.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,ae98229fd77802bde674cadcfcbc8d633c744c1bf7e6f29d6b73bda68b948d0c,17.499470514604706,1750,59,1809,ok
42,task042.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,750708a9a5332fbd8c065a17348a4b924a31c866117c6b9319e896e0ab2b652c,16.95762199482672,2792,318,3110,ok
