task_id,baseline_cost,new_cost,baseline_points,new_points,baseline_bytes,new_bytes,optimizer_level,status,reason
57,29304,29304,14.71452069554135,14.71452069554135,1988,1988,none,unchanged,extended: custom domain com.microsoft.nchwc
58,16105,16105,15.313114938234701,15.313114938234701,14579,14579,none,unchanged,extended: custom domain com.microsoft.nchwc
59,20387,20387,15.077347278202861,15.077347278202861,7242,7242,none,unchanged,extended: custom domain com.microsoft.nchwc
60,5581,5581,16.372876749211567,16.372876749211567,2524,2524,none,unchanged,extended: custom domain com.microsoft.nchwc
61,18914,18914,15.152342332424542,15.152342332424542,17113,17113,none,unchanged,extended: custom domain com.microsoft.nchwc
62,30609,30609,14.670950637656585,14.670950637656585,19486,19486,none,unchanged,extended: custom domain com.microsoft.nchwc
63,30732,30732,14.666940264012474,14.666940264012474,4431,4431,none,unchanged,extended: custom domain com.microsoft.nchwc
64,114153,114153,13.354705067178468,13.354705067178468,8580,8580,none,unchanged,extended: custom domain com.microsoft.nchwc
65,35109,35109,14.533787213157124,14.533787213157124,3215,3215,none,unchanged,extended: custom domain com.microsoft.nchwc
66,21408,21408,15.028480037072045,15.028480037072045,25831,25831,none,unchanged,extended: custom domain com.microsoft.nchwc
67,315,315,19.247427361174367,19.247427361174367,1053,1053,none,unchanged,extended: custom domain com.microsoft.nchwc
68,12589,12589,15.55942130423374,15.55942130423374,2203,2203,none,unchanged,extended: custom domain com.microsoft.nchwc
69,84250,84250,13.658456151785392,13.658456151785392,48710,48710,none,unchanged,extended: custom domain com.microsoft.nchwc
70,66138,66138,13.90050125280863,13.90050125280863,9304,9304,none,unchanged,extended: custom domain com.microsoft.nchwc
71,129780,129780,13.22640401182484,13.22640401182484,13061,13061,none,unchanged,extended: custom domain com.microsoft.nchwc
72,1309,1309,17.8229812340901,17.8229812340901,1389,1389,none,unchanged,extended: custom domain com.microsoft.nchwc
73,910,910,18.186555400489105,18.186555400489105,3870,3870,none,unchanged,extended: custom domain com.microsoft.nchwc
74,21825,21825,15.009188619292196,15.009188619292196,2292,2292,none,unchanged,extended: custom domain com.microsoft.nchwc
75,28487,28487,14.742796878157792,14.742796878157792,6113,6113,none,unchanged,extended: custom domain com.microsoft.nchwc
76,36184,36184,14.503627688842322,14.503627688842322,22903,22903,none,unchanged,extended: custom domain com.microsoft.nchwc
77,157913,157913,13.030200472556263,13.030200472556263,9825,9825,none,unchanged,extended: custom domain com.microsoft.nchwc
78,11496,11496,15.65024557224114,15.65024557224114,2275,2275,none,unchanged,extended: custom domain com.microsoft.nchwc
79,21383,21383,15.029648507210364,15.029648507210364,3601,3601,none,unchanged,extended: custom domain com.microsoft.nchwc
80,42082,42082,14.352624625200743,14.352624625200743,12166,12166,none,unchanged,extended: custom domain com.microsoft.nchwc
81,2307,2307,17.256296741826247,17.256296741826247,5225,5225,none,unchanged,extended: custom domain com.microsoft.nchwc
82,23479,23479,14.936138316402742,14.936138316402742,2070,2070,none,unchanged,extended: custom domain com.microsoft.nchwc
83,1800,1800,17.504458056115745,17.504458056115745,7476,7476,none,unchanged,extended: custom domain com.microsoft.nchwc
84,19513,19513,15.121163810905001,15.121163810905001,3361,3361,none,unchanged,extended: custom domain com.microsoft.nchwc
85,113178,113178,13.36328292042622,13.36328292042622,3083,3083,none,unchanged,extended: custom domain com.microsoft.nchwc
86,25857,25857,14.83966336368449,14.83966336368449,4566,4566,none,unchanged,extended: custom domain com.microsoft.nchwc
87,368,368,19.09191706183107,19.09191706183107,433,433,none,unchanged,extended: custom domain com.microsoft.nchwc
88,72766,72766,13.80499590787612,13.80499590787612,4857,4857,none,unchanged,extended: custom domain com.microsoft.nchwc
89,49703,49703,14.186179427563964,14.186179427563964,15672,15672,none,unchanged,extended: custom domain com.microsoft.nchwc
90,63354,63354,13.94350667496543,13.94350667496543,31419,31419,none,unchanged,extended: custom domain com.microsoft.nchwc
91,51466,51466,14.151323325547068,14.151323325547068,5270,5270,none,unchanged,extended: custom domain com.microsoft.nchwc
92,46289,46289,14.25734036914603,14.25734036914603,2507,2507,none,unchanged,extended: custom domain com.microsoft.nchwc
93,15458,15458,15.354118052333183,15.354118052333183,6944,6944,none,unchanged,extended: custom domain com.microsoft.nchwc
94,10453,10453,15.745355702467293,15.745355702467293,3609,3609,none,unchanged,extended: custom domain com.microsoft.nchwc
95,910,910,18.186555400489105,18.186555400489105,3953,3953,none,unchanged,extended: custom domain com.microsoft.nchwc
96,26948,26948,14.79833563791945,14.79833563791945,20402,20402,none,unchanged,extended: custom domain com.microsoft.nchwc
97,55812,55812,14.070255820987903,14.070255820987903,1190,1190,none,unchanged,extended: custom domain com.microsoft.nchwc
98,910,910,18.186555400489105,18.186555400489105,3880,3880,none,unchanged,extended: custom domain com.microsoft.nchwc
99,4910,4910,16.500970779211436,16.500970779211436,19883,19883,none,unchanged,extended: custom domain com.microsoft.nchwc
100,6536,6536,16.21491936346016,16.21491936346016,3692,3692,none,unchanged,extended: custom domain com.microsoft.nchwc
101,65875,65875,13.904485714156337,13.904485714156337,34098,34098,none,unchanged,extended: custom domain com.microsoft.nchwc
102,12607,12607,15.55799250576873,15.55799250576873,7489,7489,none,unchanged,extended: custom domain com.microsoft.nchwc
103,193,193,19.737309811095116,19.737309811095116,1251,1251,none,unchanged,extended: custom domain com.microsoft.nchwc
104,3682,3682,16.788788638206977,16.788788638206977,4136,4136,none,unchanged,extended: custom domain com.microsoft.nchwc
105,7055,7055,16.138508135713085,16.138508135713085,8010,8010,none,unchanged,extended: custom domain com.microsoft.nchwc
106,1164,1164,17.940382371708615,17.940382371708615,2647,2647,none,unchanged,extended: custom domain com.microsoft.nchwc
107,73131,73131,13.799992367549814,13.799992367549814,33960,33960,none,unchanged,extended: custom domain com.microsoft.nchwc
108,1800,1800,17.504458056115745,17.504458056115745,7476,7476,none,unchanged,extended: custom domain com.microsoft.nchwc
109,94878,94878,13.539652865248629,13.539652865248629,5912,5912,none,unchanged,extended: custom domain com.microsoft.nchwc
110,109201,109201,13.399054500239831,13.399054500239831,25121,25121,none,unchanged,extended: custom domain com.microsoft.nchwc
111,797,797,18.319145321209785,18.319145321209785,2007,2007,none,unchanged,extended: custom domain com.microsoft.nchwc
112,59270,59270,14.010141445218116,14.010141445218116,5493,5493,none,unchanged,extended: custom domain com.microsoft.nchwc
113,30,30,21.598802618337846,21.598802618337846,523,523,none,unchanged,extended: custom domain com.microsoft.nchwc
114,1254,1254,17.865906278807135,17.865906278807135,4349,4349,none,unchanged,extended: custom domain com.microsoft.nchwc
115,4122,4122,16.675906238549594,16.675906238549594,4708,4708,none,unchanged,extended: custom domain com.microsoft.nchwc
116,30,30,21.598802618337846,21.598802618337846,503,503,none,unchanged,extended: custom domain com.microsoft.nchwc
117,18454,18454,15.1769635718615,15.1769635718615,10768,10768,none,unchanged,extended: custom domain com.microsoft.nchwc
118,60026,60026,13.997466919324204,13.997466919324204,19659,19659,none,unchanged,extended: custom domain com.microsoft.nchwc
119,16640,16640,15.280435285624801,15.280435285624801,11316,11316,none,unchanged,extended: custom domain com.microsoft.nchwc
120,910,910,18.186555400489105,18.186555400489105,3880,3880,none,unchanged,extended: custom domain com.microsoft.nchwc
121,6530,6530,16.215837777729526,16.215837777729526,3528,3528,none,unchanged,extended: custom domain com.microsoft.nchwc
122,2510,2510,17.17196196787417,17.17196196787417,10280,10280,none,unchanged,extended: custom domain com.microsoft.nchwc
123,4104,4104,16.680282613149394,16.680282613149394,9143,9143,none,unchanged,extended: custom domain com.microsoft.nchwc
124,11673,11673,15.634966238347337,15.634966238347337,4882,4882,none,unchanged,extended: custom domain com.microsoft.nchwc
125,13417,13417,15.495722161409528,15.495722161409528,3785,3785,none,unchanged,extended: custom domain com.microsoft.nchwc
126,86091,86091,13.636839844664504,13.636839844664504,3870,3870,none,unchanged,extended: custom domain com.microsoft.nchwc
127,900,900,18.197605236675688,18.197605236675688,3800,3800,none,unchanged,extended: custom domain com.microsoft.nchwc
128,95042,95042,13.537925821853902,13.537925821853902,4030,4030,none,unchanged,extended: custom domain com.microsoft.nchwc
129,807,807,18.306676331730053,18.306676331730053,997,997,none,unchanged,extended: custom domain com.microsoft.nchwc
130,15948,15948,15.322911291498754,15.322911291498754,1742,1742,none,unchanged,extended: custom domain com.microsoft.nchwc
131,44550,44550,14.295632567101045,14.295632567101045,10020,10020,none,unchanged,extended: custom domain com.microsoft.nchwc
132,29458,29458,14.709279200950512,14.709279200950512,3465,3465,none,unchanged,extended: custom domain com.microsoft.nchwc
133,193923,193923,12.824783547959548,12.824783547959548,190542,190542,none,unchanged,extended: custom domain com.microsoft.nchwc
134,12388,12388,15.575516458906906,15.575516458906906,9408,9408,none,unchanged,extended: custom domain com.microsoft.nchwc
135,360,360,19.113895968549844,19.113895968549844,280,280,none,unchanged,extended: custom domain com.microsoft.nchwc
136,4837,4837,16.515950027177016,16.515950027177016,3640,3640,none,unchanged,extended: custom domain com.microsoft.nchwc
137,72472,72472,13.809044440650876,13.809044440650876,5213,5213,none,unchanged,extended: custom domain com.microsoft.nchwc
138,48467,48467,14.211361567031112,14.211361567031112,7673,7673,none,unchanged,extended: custom domain com.microsoft.nchwc
139,3630,3630,16.803012072741105,16.803012072741105,5416,5416,none,unchanged,extended: custom domain com.microsoft.nchwc
140,368,368,19.09191706183107,19.09191706183107,433,433,none,unchanged,extended: custom domain com.microsoft.nchwc
141,15819,15819,15.33103297180142,15.33103297180142,2986,2986,none,unchanged,extended: custom domain com.microsoft.nchwc
142,1800,1800,17.504458056115745,17.504458056115745,7476,7476,none,unchanged,extended: custom domain com.microsoft.nchwc
143,19441,19441,15.12486048297936,15.12486048297936,2635,2635,none,unchanged,extended: custom domain com.microsoft.nchwc
144,786,786,18.333043207570793,18.333043207570793,1530,1530,none,unchanged,extended: custom domain com.microsoft.nchwc
145,69757,69757,13.847226946929018,13.847226946929018,26837,26837,none,unchanged,extended: custom domain com.microsoft.nchwc
146,2256,2256,17.27865138738205,17.27865138738205,2622,2622,none,unchanged,extended: custom domain com.microsoft.nchwc
147,910,910,18.186555400489105,18.186555400489105,3870,3870,none,unchanged,extended: custom domain com.microsoft.nchwc
148,22029,22029,14.99988495388028,14.99988495388028,10291,10291,none,unchanged,extended: custom domain com.microsoft.nchwc
149,437,437,18.92006680490441,18.92006680490441,1048,1048,none,unchanged,extended: custom domain com.microsoft.nchwc
150,1014,1014,18.078341815848873,18.078341815848873,1583,1583,none,unchanged,extended: custom domain com.microsoft.nchwc
151,910,910,18.186555400489105,18.186555400489105,3929,3929,none,unchanged,extended: custom domain com.microsoft.nchwc
152,1800,1800,17.504458056115745,17.504458056115745,7476,7476,none,unchanged,extended: custom domain com.microsoft.nchwc
153,11212,11212,15.675260087715321,15.675260087715321,5740,5740,none,unchanged,extended: custom domain com.microsoft.nchwc
154,45574,45574,14.27290734254795,14.27290734254795,9074,9074,none,unchanged,extended: custom domain com.microsoft.nchwc
155,1014,1014,18.078341815848873,18.078341815848873,1583,1583,none,unchanged,extended: custom domain com.microsoft.nchwc
156,26552,26552,14.81313964660019,14.81313964660019,47528,47528,none,unchanged,extended: custom domain com.microsoft.nchwc
157,79930,79930,13.711093469379936,13.711093469379936,50746,50746,none,unchanged,extended: custom domain com.microsoft.nchwc
158,182776,182776,12.883983361645681,12.883983361645681,177323,177323,none,unchanged,extended: custom domain com.microsoft.nchwc
159,89501,89501,13.597994922615115,13.597994922615115,15010,15010,none,unchanged,extended: custom domain com.microsoft.nchwc
160,4586,4586,16.56923653658215,16.56923653658215,2830,2830,none,unchanged,extended: custom domain com.microsoft.nchwc
161,64647,64647,13.923303020588978,13.923303020588978,4933,4933,none,unchanged,extended: custom domain com.microsoft.nchwc
162,63291,63291,13.944501582071068,13.944501582071068,2707,2707,none,unchanged,extended: custom domain com.microsoft.nchwc
163,24085,24085,14.910655480935679,14.910655480935679,10179,10179,none,unchanged,extended: custom domain com.microsoft.nchwc
164,30,30,21.598802618337846,21.598802618337846,503,503,none,unchanged,extended: custom domain com.microsoft.nchwc
165,67524,67524,13.87976163077872,13.87976163077872,5384,5384,none,unchanged,extended: custom domain com.microsoft.nchwc
166,24789,24789,14.881844714630706,14.881844714630706,1433,1433,none,unchanged,extended: custom domain com.microsoft.nchwc
167,685,685,18.470581161737776,18.470581161737776,1744,1744,none,unchanged,extended: custom domain com.microsoft.nchwc
168,20403,20403,15.076562772156251,15.076562772156251,4677,4677,none,unchanged,extended: custom domain com.microsoft.nchwc
169,23629,23629,14.929769949800432,14.929769949800432,22889,22889,none,unchanged,extended: custom domain com.microsoft.nchwc
170,78564,78564,13.728331141770909,13.728331141770909,80838,80838,none,unchanged,extended: custom domain com.microsoft.nchwc
171,910,910,18.186555400489105,18.186555400489105,3870,3870,none,unchanged,extended: custom domain com.microsoft.nchwc
172,30,30,21.598802618337846,21.598802618337846,503,503,none,unchanged,extended: custom domain com.microsoft.nchwc
173,175243,175243,12.926071138839562,12.926071138839562,10179,10179,none,unchanged,extended: custom domain com.microsoft.nchwc
174,52019,52019,14.140635684557754,14.140635684557754,88405,88405,none,unchanged,extended: custom domain com.microsoft.nchwc
175,23859,23859,14.920083216374755,14.920083216374755,5696,5696,none,unchanged,extended: custom domain com.microsoft.nchwc
176,7920,7920,16.022853515191528,16.022853515191528,1206,1206,none,unchanged,extended: custom domain com.microsoft.nchwc
177,61194,61194,13.978195575521427,13.978195575521427,3685,3685,none,unchanged,extended: custom domain com.microsoft.nchwc
178,29331,29331,14.713599743826219,14.713599743826219,11178,11178,none,unchanged,extended: custom domain com.microsoft.nchwc
179,0,0,25.0,25.0,178,178,none,unchanged,extended: custom domain com.microsoft.nchwc
180,7450,7450,16.084030688626395,16.084030688626395,2610,2610,none,unchanged,extended: custom domain com.microsoft.nchwc
181,1194,1194,17.91493570604745,17.91493570604745,3575,3575,none,unchanged,extended: custom domain com.microsoft.nchwc
182,47624,47624,14.228907885166773,14.228907885166773,15528,15528,none,unchanged,extended: custom domain com.microsoft.nchwc
183,24878,24878,14.87826084223009,14.87826084223009,6411,6411,none,unchanged,extended: custom domain com.microsoft.nchwc
184,38855,38855,14.432407952356657,14.432407952356657,44106,44106,none,unchanged,extended: custom domain com.microsoft.nchwc
185,59584,59584,14.00485763936326,14.00485763936326,23762,23762,none,unchanged,extended: custom domain com.microsoft.nchwc
186,364,364,19.10284613236326,19.10284613236326,1253,1253,none,unchanged,extended: custom domain com.microsoft.nchwc
187,105313,105313,13.435307852707972,13.435307852707972,7916,7916,none,unchanged,extended: custom domain com.microsoft.nchwc
188,10664,10664,15.725371138141455,15.725371138141455,3972,3972,none,unchanged,extended: custom domain com.microsoft.nchwc
189,24649,24649,14.887508389303385,14.887508389303385,11016,11016,none,unchanged,extended: custom domain com.microsoft.nchwc
190,11204,11204,15.675973863620001,15.675973863620001,9783,9783,none,unchanged,extended: custom domain com.microsoft.nchwc
191,73993,73993,13.788274226882638,13.788274226882638,45679,45679,none,unchanged,extended: custom domain com.microsoft.nchwc
192,51968,51968,14.14161657647865,14.14161657647865,2553,2553,none,unchanged,extended: custom domain com.microsoft.nchwc
193,53661,53661,14.109558240338645,14.109558240338645,2282,2282,none,unchanged,extended: custom domain com.microsoft.nchwc
194,1800,1800,17.504458056115745,17.504458056115745,7476,7476,none,unchanged,extended: custom domain com.microsoft.nchwc
195,14229,14229,15.436962585454308,15.436962585454308,6269,6269,none,unchanged,extended: custom domain com.microsoft.nchwc
196,32242,32242,14.618974770564057,14.618974770564057,3150,3150,none,unchanged,extended: custom domain com.microsoft.nchwc
197,50688,50688,14.166555524825903,14.166555524825903,1646,1646,none,unchanged,extended: custom domain com.microsoft.nchwc
198,103821,103821,13.449576458609688,13.449576458609688,8402,8402,none,unchanged,extended: custom domain com.microsoft.nchwc
199,16157,16157,15.30989132872317,15.30989132872317,3260,3260,none,unchanged,extended: custom domain com.microsoft.nchwc
200,8306,8306,15.975266575809302,15.975266575809302,4721,4721,none,unchanged,extended: custom domain com.microsoft.nchwc
201,92700,92700,13.562876248446054,13.562876248446054,15537,15537,none,unchanged,extended: custom domain com.microsoft.nchwc
202,125720,125720,13.258187509088495,13.258187509088495,3680,3680,none,unchanged,extended: custom domain com.microsoft.nchwc
