task_id,variant,baseline_cost,candidate_cost,baseline_points,candidate_points,file_bytes,validation_status,status,reason,sha256
1,surgery_prune_unused_initializers,2843,,17.047384888349,,,not_run,skipped,no unused initializers,
2,surgery_prune_unused_initializers,33548,33547,14.579267471895697,14.579297280376213,83229,26_pass_0_fail,improved,ok,64c7ad58f30d9cb5012a3dfb21e76eb1bc2e7c79098788bbcd992113c316397e
3,surgery_prune_unused_initializers,9102,,15.883750551423413,,,not_run,skipped,no unused initializers,
4,surgery_prune_unused_initializers,13561,13560,15.485046694912056,15.485120438505614,31340,23_pass_0_fail,improved,ok,57d4c5fa135555611b6299fa8ead05fbd393001cf110789100934e3441be626a
5,surgery_prune_unused_initializers,19388,19387,15.127590403034734,15.127641982660792,45380,24_pass_0_fail,improved,ok,bf625bb35c4aee0bda9518b83db9f689285c218a7459044213eee02f9205261c
6,surgery_prune_unused_initializers,1631,,17.603051397378987,,,not_run,skipped,no unused initializers,
7,surgery_prune_unused_initializers,7271,,16.108350887349943,,,not_run,skipped,no unused initializers,
8,surgery_prune_unused_initializers,10556,10555,15.735550302376785,15.735645039717578,23300,24_pass_0_fail,improved,ok,c1041a58d33a864c24c3c60582ae7acd148dc76613a0ac3d18c6e199449b784e
9,surgery_prune_unused_initializers,23612,23611,14.93048966363942,14.930532015883037,55940,24_pass_0_fail,improved,ok,66525cf6c9367cb7fa28a417da4cd0018feae1892926b30fd03ead97a4cc10d5
10,surgery_prune_unused_initializers,5016,,16.479611917687244,,,not_run,skipped,no unused initializers,
11,surgery_prune_unused_initializers,24185,24184,14.906512114742917,14.906553463540707,58948,25_pass_0_fail,improved,ok,2a7c634043ed7c1c22f6a0bcb63dfc1031fd0ea1ea81e4cdb523b1b886370fce
12,surgery_prune_unused_initializers,11214,11213,15.675081723316381,15.675170901539119,24352,23_pass_0_fail,improved,ok,c81222efb9bf3d8252364738dea1ecf01c45e72a442d9a8c014551df8e5b51ef
13,surgery_prune_unused_initializers,54112,54111,14.101188748301693,14.101207228661691,132611,25_pass_0_fail,improved,ok,41c3a938b1da93eb59bd49bf1e331cecbc2632179c8f88869c361b60d0ea3765
