variant,status,node_count,memory,params,cost,file_bytes,sha256,static_reason,score_reason,runtime_reason,notes
gatherelements_lattice_core_pad,scored,6,6250,1410,7660,11761,edb9b52d8bf2e7a9687071746ffbfa532d8f2001a3d1c91b188029aaa4f53d94,ok,ok,ok,"Selected 4x4 lattice extraction via two GatherElements ops, then homogeneous 2x2 core."
gathernd_16_cells_core_pad,scored,8,38730,102,38832,1332,84b158359c3987a608055b40939ee82d3e3c899bd84d13b43cc578e69ec45ed8,ok,ok,ok,"Selected 16-cell sparse GatherND extraction, then homogeneous 2x2 core."
