task_id,route,template_name,baseline_cost,candidate_cost,baseline_points,candidate_points,file_bytes,validation_status,status,reason,sha256
80,same_shape_global_transform,greedy4_Where_node5_to_input1,41182,40530,14.374243453331909,14.390202280377645,11747,composed_sample20_pass,improved,greedy composed surgery,b6f43f9c176fa1ffc4a183a88a03288c5012be0b242f2b64f3a26b5a005296f4
138,crop_or_resize,greedy1_Or_node70_to_input0,47567,46667,14.230105477519256,14.249207444245036,7543,composed_sample20_pass,improved,greedy composed surgery,40efa2894514ee5b3a2ad52c312ca8ed6031630ac288d87f3aa0f97055a5e6cb
145,same_shape_global_transform,greedy1_And_node318_to_input0,68857,67957,13.860212830713525,13.87336956880238,26703,composed_sample20_pass,improved,greedy composed surgery,b6ba206705659593daed558834a862984818f8e550e09c63205f6aab87333095
187,same_shape_global_transform,greedy3_Greater_node68_to_input0,102613,99913,13.461280090654656,13.487944913699415,7534,composed_sample20_pass,improved,greedy composed surgery,0e501a7ad2471f5bc80429645945c902467cb650143235ecaf71ab536035ba8f
268,sparse_edit_or_object_completion,greedy4_Greater_node56_to_input0,22287,22283,14.988241172180084,14.988420665113031,13720,composed_sample20_pass,improved,greedy composed surgery,22870876349b59d5cad31d7434ba5e659a2f9b8a053d11fd245c588eb80717a1
289,crop_or_resize,greedy2_Less_node10_to_input0,24509,24464,14.893204323983774,14.895042071831156,2278,composed_sample20_pass,improved,greedy composed surgery,7c3c212e276752eb2b3320d2e91182ab663fd987bab0b296ae02f0ccaa2bb6d0
376,crop_or_resize,greedy1_And_node29_to_input1,22513,22483,14.978151800879026,14.979485252938998,3413,composed_sample20_pass,improved,greedy composed surgery,dbb9c6245a5198f090fad67b61391a724de0c06e57d165fea2a31496acf47af6
