task_id,shift_status,shift_reason,dr,dc,base_cost,candidate_cost,candidate_points,validation_status,status,reason
356,skip,no fixed shift,,,5002,,,,not_run,
357,skip,no fixed shift,,,6581,,,,not_run,
358,skip,no fixed shift,,,113999,,,,not_run,
359,skip,no fixed shift,,,42313,,,,not_run,
360,skip,no fixed shift,,,11146,,,,not_run,
361,skip,no fixed shift,,,15917,,,,not_run,
362,skip,no fixed shift,,,11939,,,,not_run,
363,skip,no fixed shift,,,54241,,,,not_run,
364,skip,no fixed shift,,,77859,,,,not_run,
365,skip,no fixed shift,,,58814,,,,not_run,
366,skip,no fixed shift,,,836880,,,,not_run,
367,skip,no fixed shift,,,49772,,,,not_run,
368,skip,no fixed shift,,,32339,,,,not_run,
369,skip,no fixed shift,,,7729,,,,not_run,
370,skip,no fixed shift,,,108297,,,,not_run,
371,skip,no fixed shift,,,21181,,,,not_run,
372,skip,no fixed shift,,,7880,,,,not_run,
373,skip,no fixed shift,,,524,,,,not_run,
374,skip,no fixed shift,,,15742,,,,not_run,
375,skip,no fixed shift,,,15172,,,,not_run,
376,skip,no fixed shift,,,23413,,,,not_run,
377,skip,no fixed shift,,,61924,,,,not_run,
378,skip,no fixed shift,,,39008,,,,not_run,
379,skip,no fixed shift,,,72499,,,,not_run,
380,skip,no fixed shift,,,728,,,,not_run,
381,skip,no fixed shift,,,3681,,,,not_run,
382,skip,no fixed shift,,,107354,,,,not_run,
383,skip,no fixed shift,,,128140,,,,not_run,
384,skip,no fixed shift,,,74722,,,,not_run,
385,skip,no fixed shift,,,30,,,,not_run,
386,skip,no fixed shift,,,2183,,,,not_run,
387,skip,no fixed shift,,,63558,,,,not_run,
388,skip,no fixed shift,,,6468,,,,not_run,
389,skip,no fixed shift,,,1898,,,,not_run,
390,skip,no fixed shift,,,24692,,,,not_run,
391,skip,no fixed shift,,,10021,,,,not_run,
392,skip,no fixed shift,,,30870,,,,not_run,
393,skip,no fixed shift,,,459,,,,not_run,
394,skip,no fixed shift,,,4753,,,,not_run,
395,skip,no fixed shift,,,1667,,,,not_run,
396,skip,no fixed shift,,,143389,,,,not_run,
397,skip,no fixed shift,,,21041,,,,not_run,
398,skip,no fixed shift,,,84295,,,,not_run,
399,skip,no fixed shift,,,1839,,,,not_run,
400,skip,no fixed shift,,,35153,,,,not_run,
