task_id,mapping_status,mapping_reason,inverse_indices,base_cost,candidate_cost,candidate_points,validation_status,status,reason
87,skip,conflict color 2: 1 vs 8 at example 0,,368,,,,not_run,
88,skip,shape mismatch example 0,,72766,,,,not_run,
89,skip,conflict color 0: 0 vs 1 at example 0,,49703,,,,not_run,
90,skip,conflict color 0: 0 vs 6 at example 0,,63354,,,,not_run,
91,skip,shape mismatch example 0,,51466,,,,not_run,
92,skip,conflict color 0: 0 vs 2 at example 0,,46290,,,,not_run,
93,skip,conflict color 0: 0 vs 5 at example 0,,15458,,,,not_run,
94,skip,conflict color 8: 8 vs 6 at example 0,,10453,,,,not_run,
95,skip,conflict color 0: 0 vs 1 at example 0,,910,,,,not_run,
96,skip,shape mismatch example 0,,26948,,,,not_run,
97,skip,conflict color 8: 8 vs 0 at example 0,,55812,,,,not_run,
98,skip,conflict color 8: 8 vs 0 at example 0,,910,,,,not_run,
99,skip,conflict color 0: 0 vs 2 at example 0,,4910,,,,not_run,
100,skip,shape mismatch example 0,,6536,,,,not_run,
101,skip,conflict color 0: 0 vs 1 at example 0,,65875,,,,not_run,
102,skip,conflict color 0: 0 vs 2 at example 0,,12607,,,,not_run,
103,skip,shape mismatch example 0,,193,,,,not_run,
104,skip,shape mismatch example 0,,3682,,,,not_run,
105,skip,conflict color 0: 0 vs 2 at example 0,,7055,,,,not_run,
106,skip,shape mismatch example 0,,1164,,,,not_run,
107,skip,shape mismatch example 0,,73131,,,,not_run,
108,skip,shape mismatch example 0,,1800,,,,not_run,
109,skip,shape mismatch example 0,,94878,,,,not_run,
110,skip,conflict color 0: 2 vs 1 at example 0,,109201,,,,not_run,
111,skip,shape mismatch example 0,,797,,,,not_run,
112,skip,conflict color 0: 0 vs 2 at example 0,,59270,,,,not_run,
113,skip,conflict color 0: 0 vs 3 at example 0,,30,,,,not_run,
114,skip,shape mismatch example 0,,1254,,,,not_run,
115,skip,shape mismatch example 0,,4122,,,,not_run,
116,skip,shape mismatch example 0,,30,,,,not_run,
117,skip,conflict color 0: 0 vs 2 at example 0,,18454,,,,not_run,
118,skip,conflict color 5: 5 vs 8 at example 0,,60026,,,,not_run,
119,skip,conflict color 0: 0 vs 3 at example 0,,16640,,,,not_run,
120,skip,conflict color 2: 2 vs 8 at example 0,,910,,,,not_run,
121,skip,shape mismatch example 0,,6530,,,,not_run,
122,skip,conflict color 2: 0 vs 2 at example 0,,2510,,,,not_run,
123,skip,shape mismatch example 0,,4104,,,,not_run,
124,skip,shape mismatch example 0,,11673,,,,not_run,
125,skip,conflict color 8: 8 vs 3 at example 0,,13417,,,,not_run,
126,skip,conflict color 0: 0 vs 4 at example 0,,86091,,,,not_run,
127,skip,conflict color 0: 6 vs 7 at example 0,,900,,,,not_run,
128,skip,conflict color 0: 0 vs 1 at example 0,,95042,,,,not_run,
129,skip,conflict color 6: 4 vs 9 at example 1,,807,,,,not_run,
130,skip,shape mismatch example 0,,15948,,,,not_run,
131,skip,conflict color 0: 0 vs 8 at example 0,,44550,,,,not_run,
132,skip,conflict color 0: 0 vs 1 at example 0,,29458,,,,not_run,
133,skip,conflict color 0: 0 vs 4 at example 0,,193923,,,,not_run,
134,skip,shape mismatch example 0,,12388,,,,not_run,
135,skip,shape mismatch example 0,,360,,,,not_run,
136,skip,conflict color 0: 1 vs 0 at example 0,,4837,,,,not_run,
137,skip,conflict color 0: 0 vs 8 at example 0,,72472,,,,not_run,
138,skip,shape mismatch example 0,,48560,,,,not_run,
139,skip,conflict color 0: 0 vs 7 at example 0,,3630,,,,not_run,
140,skip,conflict color 5: 8 vs 0 at example 1,,368,,,,not_run,
141,skip,conflict color 0: 2 vs 0 at example 0,,15819,,,,not_run,
142,skip,shape mismatch example 0,,1800,,,,not_run,
143,skip,conflict color 1: 1 vs 5 at example 2,,19441,,,,not_run,
144,skip,shape mismatch example 0,,786,,,,not_run,
145,skip,conflict color 0: 8 vs 0 at example 0,,69757,,,,not_run,
146,skip,shape mismatch example 0,,2256,,,,not_run,
147,skip,conflict color 3: 8 vs 3 at example 0,,910,,,,not_run,
148,skip,conflict color 0: 0 vs 8 at example 0,,22029,,,,not_run,
149,skip,shape mismatch example 0,,509,,,,not_run,
150,skip,conflict color 6: 2 vs 6 at example 0,,1014,,,,not_run,
151,skip,conflict color 0: 4 vs 0 at example 0,,910,,,,not_run,
152,skip,shape mismatch example 0,,1800,,,,not_run,
153,skip,shape mismatch example 0,,11212,,,,not_run,
154,skip,conflict color 0: 0 vs 5 at example 0,,45574,,,,not_run,
155,skip,conflict color 1: 7 vs 4 at example 0,,1014,,,,not_run,
156,skip,conflict color 4: 4 vs 1 at example 0,,26552,,,,not_run,
157,skip,conflict color 0: 1 vs 0 at example 0,,79930,,,,not_run,
158,skip,conflict color 1: 1 vs 8 at example 0,,182776,,,,not_run,
159,skip,shape mismatch example 0,,89501,,,,not_run,
160,skip,conflict color 1: 0 vs 2 at example 0,,4586,,,,not_run,
161,skip,conflict color 0: 0 vs 3 at example 0,,64647,,,,not_run,
162,skip,conflict color 0: 0 vs 1 at example 0,,63291,,,,not_run,
163,skip,conflict color 0: 0 vs 3 at example 0,,24085,,,,not_run,
164,skip,shape mismatch example 0,,30,,,,not_run,
165,skip,conflict color 0: 0 vs 8 at example 0,,67524,,,,not_run,
166,skip,conflict color 0: 0 vs 2 at example 0,,24789,,,,not_run,
167,skip,conflict color 2: 5 vs 0 at example 0,,685,,,,not_run,
168,skip,conflict color 0: 0 vs 7 at example 0,,20403,,,,not_run,
169,skip,conflict color 5: 1 vs 2 at example 0,,23629,,,,not_run,
170,skip,shape mismatch example 0,,78564,,,,not_run,
171,skip,conflict color 0: 8 vs 0 at example 0,,910,,,,not_run,
172,skip,shape mismatch example 0,,30,,,,not_run,
173,skip,conflict color 0: 0 vs 1 at example 0,,175243,,,,not_run,
174,skip,shape mismatch example 0,,52019,,,,not_run,
175,skip,conflict color 0: 1 vs 6 at example 0,,23859,,,,not_run,
176,skip,conflict color 0: 0 vs 4 at example 0,,7920,,,,not_run,
