variant,status,node_count,memory,params,cost,file_bytes,sha256,static_reason,score_reason,runtime_reason,notes
onecell_output_floor,scored,2,40,12,52,414,eb494e1d766eedddf99159874c7cdec2f4b1cc8bfd68a6e0b659ed134e7aa93a,ok,ok,ok,1x1 output one-hot slice floor.
reachability_4step_8x8,scored,19,7184,30,7214,1304,5ea6a9d0637e59d265566b22a86b991c3276d29e150365bbf22ba0e985d547e7,ok,ok,ok,4-step 8x8 Conv dilation proxy.
reachability_8step_8x8,scored,35,10512,30,10542,1960,41130bb4458f16f937790b12833ece2fe3efefa4df0ba30893ea8bb05f3dd101,ok,ok,ok,8-step 8x8 Conv dilation proxy.
