idx,shape,ok_valid,ok_any,match,rr_valid,cc_valid,rr_any,cc_any,rr_valid_score,rr_any_score,cc_valid_score,cc_any_score
238,29x29,True,True,True,"17,20,23,26","17,20,23,26","17,20,23,26","17,20,23,26",16,16,16,16
239,29x29,True,True,True,"8,11,14,17","14,17,20,23","8,11,14,17","14,17,20,23",13,13,13,13
240,27x27,True,True,True,"11,15,19,23","3,7,11,15","11,15,19,23","3,7,11,15",12,12,12,12
241,27x27,True,True,True,"11,15,19,23","11,15,19,23","11,15,19,23","11,15,19,23",12,12,12,12
242,29x29,True,True,True,"8,11,14,17","11,14,17,20","8,11,14,17","11,14,17,20",14,14,14,14
243,29x29,True,True,True,"11,14,17,20","8,11,14,17","11,14,17,20","8,11,14,17",14,14,14,14
244,29x29,True,True,True,"4,9,14,19","4,9,14,19","4,9,14,19","4,9,14,19",12,12,12,12
245,29x29,True,True,True,"11,14,17,20","8,11,14,17","11,14,17,20","8,11,14,17",12,12,12,12
246,29x29,True,True,True,"8,11,14,17","5,8,11,14","8,11,14,17","5,8,11,14",12,12,12,12
247,29x29,True,True,True,"4,9,14,19","9,14,19,24","4,9,14,19","9,14,19,24",12,12,12,12
248,29x29,True,True,True,"17,20,23,26","8,11,14,17","17,20,23,26","8,11,14,17",14,14,14,14
249,29x29,True,True,True,"9,14,19,24","9,14,19,24","9,14,19,24","9,14,19,24",12,12,12,12
250,27x27,True,True,True,"11,15,19,23","11,15,19,23","11,15,19,23","11,15,19,23",13,13,13,13
251,27x27,True,True,True,"7,11,15,19","7,11,15,19","7,11,15,19","7,11,15,19",10,10,10,10
252,27x27,True,True,True,"3,7,11,15","7,11,15,19","3,7,11,15","7,11,15,19",16,16,16,16
253,29x29,True,True,True,"4,9,14,19","4,9,14,19","4,9,14,19","4,9,14,19",10,10,10,10
254,29x29,True,True,True,"4,9,14,19","9,14,19,24","4,9,14,19","9,14,19,24",14,14,14,14
255,29x29,True,True,True,"9,14,19,24","9,14,19,24","9,14,19,24","9,14,19,24",14,14,14,14
256,27x27,True,True,True,"3,7,11,15","3,7,11,15","3,7,11,15","3,7,11,15",12,12,12,12
257,27x27,True,True,True,"11,15,19,23","11,15,19,23","11,15,19,23","11,15,19,23",12,12,12,12
258,29x29,True,True,True,"2,5,8,11","5,8,11,14","2,5,8,11","5,8,11,14",14,14,14,14
259,27x27,True,True,True,"11,15,19,23","11,15,19,23","11,15,19,23","11,15,19,23",14,14,14,14
260,27x27,True,True,True,"3,7,11,15","3,7,11,15","3,7,11,15","3,7,11,15",16,16,16,16
261,27x27,True,True,True,"11,15,19,23","11,15,19,23","11,15,19,23","11,15,19,23",14,14,14,14
262,29x29,True,True,True,"2,5,8,11","14,17,20,23","2,5,8,11","14,17,20,23",14,14,14,14
263,29x29,True,True,True,"11,14,17,20","8,11,14,17","11,14,17,20","8,11,14,17",14,14,14,14
264,27x27,True,True,True,"7,11,15,19","7,11,15,19","7,11,15,19","7,11,15,19",12,12,12,12
265,29x29,True,True,True,"9,14,19,24","4,9,14,19","9,14,19,24","4,9,14,19",14,14,14,14
266,27x27,True,True,True,"3,7,11,15","7,11,15,19","3,7,11,15","7,11,15,19",8,8,8,8
