idx,shape,ok_valid,ok_any,match,rr_valid,cc_valid,rr_any,cc_any,rr_valid_score,rr_any_score,cc_valid_score,cc_any_score
169,29x29,True,True,True,"11,14,17,20","17,20,23,26","11,14,17,20","17,20,23,26",14,14,14,14
170,29x29,True,True,True,"9,14,19,24","4,9,14,19","9,14,19,24","4,9,14,19",12,12,12,12
171,29x29,True,True,True,"14,17,20,23","8,11,14,17","14,17,20,23","8,11,14,17",11,11,11,11
172,27x27,True,True,True,"3,7,11,15","3,7,11,15","3,7,11,15","3,7,11,15",8,8,8,8
173,29x29,True,True,True,"4,9,14,19","9,14,19,24","4,9,14,19","9,14,19,24",14,14,14,14
174,27x27,True,True,True,"3,7,11,15","7,11,15,19","3,7,11,15","7,11,15,19",12,12,12,12
175,29x29,True,True,True,"4,9,14,19","4,9,14,19","4,9,14,19","4,9,14,19",14,14,14,14
176,29x29,True,True,True,"14,17,20,23","8,11,14,17","14,17,20,23","8,11,14,17",14,14,14,14
177,29x29,True,True,True,"4,9,14,19","4,9,14,19","4,9,14,19","4,9,14,19",14,14,14,14
178,29x29,True,True,True,"4,9,14,19","4,9,14,19","4,9,14,19","4,9,14,19",15,15,15,15
