cost_bucket,task_count,gain_to_600_sum,gain_to_250_sum
100000_plus,29,156.62992957908972,182.01852296235288
50001_100000,75,357.265861251028,422.92601655257096
601_9000,122,179.2862211603823,286.09340711755846
9001_50000,147,528.2179602404352,656.911864631459
already_251_600,8,0.0,3.650784160829602
already_<=250,19,0.0,0.0
