family,task_count,already_<=250,already_251_600,need_above_600,strict_cost_sum,teacher_cost_sum,strict_points_sum,gain_to_600_sum,gain_to_250_sum,teacher_gain_vs_strict_sum,extreme_or_large_count,top_tasks
signature_lookup_current,196,0,0,196,11501547,3815108,2811.990437444645,834.2113501329895,1005.8032226543543,197.16859652498903,183,366 133 158 173 286 77 285 54
crop_resize,85,8,4,73,747248,747248,1450.9368011834629,150.53453083216783,216.2055650629857,0.0,13,398 107 233 221 138 96 289 376
sparse_edit_or_object_completion,57,5,3,49,359653,359653,984.6483581961877,95.41408039080203,139.46098551153108,0.0,9,338 175 148 74 350 354 277 68
point_to_line_pattern,28,1,0,27,541796,541796,453.9007934547554,69.98090847274655,93.61856438130191,0.0,11,187 137 328 349 392 62 132 86
region_partition_fill,15,2,1,12,277523,277523,253.07462258805543,33.19694739037355,44.44260300507918,0.0,6,203 313 55 61 298 125 362 94
line_grid_fill,14,0,0,14,294012,294012,227.93911289884045,32.50387192813349,44.7604342510881,0.0,4,198 145 80 215 212 297 369 292
same_shape_global_transform,1,0,0,1,74403,74403,13.782748457411104,4.820321887372748,5.69579062472665,0.0,1,255
color_map,4,3,0,1,1285,1285,85.95735386945196,0.7379611963497368,1.6134299337036389,0.0,0,267 276 309 337
