rule,pass_count,fail_count
count_max_low,64,202
count_rank0,64,202
count_max_high,62,204
largest_component_max_low,57,209
largest_component_max_high,53,213
count_rank1,52,214
count_rank2,48,218
area_rank3,41,225
area_rank0,37,229
bbox_area_max_low,37,229
bbox_h_max_low,37,229
bbox_w_max_low,37,229
c0_min_low,37,229
c1_max_low,37,229
count_rank3,37,229
r0_min_low,37,229
r1_max_low,37,229
bbox_area_max_high,34,232
bbox_h_max_high,34,232
bbox_w_max_high,34,232
c0_min_high,34,232
c1_max_high,34,232
r0_min_high,34,232
r1_max_high,34,232
area_rank4,31,235
area_rank1,28,238
count_rank4,28,238
area_rank2,27,239
bbox_area_min_low,23,243
bbox_h_min_low,23,243
bbox_w_min_low,23,243
c0_max_low,23,243
c1_min_low,23,243
r0_max_low,23,243
r1_min_low,23,243
bbox_area_min_high,16,250
bbox_h_min_high,16,250
bbox_w_min_high,16,250
c0_max_high,16,250
c1_min_high,16,250
r0_max_high,16,250
r1_min_high,16,250
largest_component_min_low,13,253
largest_component_min_high,10,256
count_min_high,3,263
count_min_low,3,263
