task_id,source,template_name,route,cost,local_points,file_bytes,status,reason,sha256
27,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,6716,16.18775198180257,13728,baseline,no accepted lower-cost boundary flood candidate,51bbb342ca82503f98342d17a0c8b2c4a050c4575070c336542f070a05e792de
28,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,8990,15.896131872534333,2106,baseline,no accepted lower-cost boundary flood candidate,36728b9b5a411eec91b3378bf527e7993aff151ea43577cf015d927afc9998a7
29,exp016_signature_scatternd_lookup,signature_scatternd_lookup,crop_or_resize,71140,13.827594954497554,189199,baseline,no accepted lower-cost boundary flood candidate,b6ef1b6a4bd36f4904a81fd7035738aaa98d2b98ff036caa235889146ad9f487
30,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,11998,15.607504751786962,5853,baseline,no accepted lower-cost boundary flood candidate,a0f4843251086700ba78da4184126135f92cd1473049e8a4f7709d424cdede97
31,massimilianoghiotto_6254,baseline,crop_or_resize,18616,15.168223295017873,3504,baseline,no accepted lower-cost boundary flood candidate,bcb1f9183e1f5ef3092345a1bf70a0a723d699e88b1aa4ef61ae7adb21961543
32,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,3405,16.86699978141639,2765,baseline,no accepted lower-cost boundary flood candidate,9424a6591a868e2cb8fec1653fe4f48e54b1d7d393444b8fcfa2d1163f52fcc2
33,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,26076,14.83122936995557,62564,baseline,no accepted lower-cost boundary flood candidate,48c32551f77f9fb909240cd67fc601844f0259f34d808e999b054bf02cd3ffab
34,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,17059,15.25556679731948,36300,baseline,no accepted lower-cost boundary flood candidate,6258ea9f0b1d4b24b72acf2ae06d190345ceb06a49021e480dc472f1b2991d84
35,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,5340,16.41701906804576,10720,baseline,no accepted lower-cost boundary flood candidate,b01b661f4b190aef2dc94649bb95e0fe832d0f173e81a02ec3257830b3025e91
36,exp016_signature_scatternd_lookup,signature_scatternd_lookup,crop_or_resize,15913,15.325108335789816,49841,baseline,no accepted lower-cost boundary flood candidate,c4e7c28cf265a7bb2f1021abf70c41a04333753f6f4c1901bdf5150d09be00ad
37,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,8380,15.966396806523871,16160,baseline,no accepted lower-cost boundary flood candidate,97bfca6aa991407e3e6eeb4dfc92a7f11c98527ec857b1509dea9142f9469042
38,massimilianoghiotto_6254,baseline,crop_or_resize,2193,17.306974251582112,2630,baseline,no accepted lower-cost boundary flood candidate,e17eaa6c4b6a15452543c4f573989d8aa55d3e2f0c49b95bdf2917aee713ad7c
39,massimilianoghiotto_6254,baseline,crop_or_resize,7772,16.04171718950267,2013,baseline,no accepted lower-cost boundary flood candidate,c0de553b8d476ad4b572e74d73f53e104bff0edababeac198ec7a500f812f91c
40,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,5948,16.309189692419956,11808,baseline,no accepted lower-cost boundary flood candidate,22f89b97e5e7586817911f4f3fde50a082b28318be5e50e4d12e109a986f98a8
41,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,9244,15.868270028605728,19618,baseline,no accepted lower-cost boundary flood candidate,11edb6134a006482656c21ef1d4e99f623081ad90a82547dc5a585896ede5aeb
42,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,5784,16.3371492361614,11064,baseline,no accepted lower-cost boundary flood candidate,d14daf01f0ea4521d7618677b969ab1608078995e4f8973d49e3015ec3bbd360
43,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,7119,16.129477454896126,2092,baseline,no accepted lower-cost boundary flood candidate,2707a8fdd37a1813d40cb4811ede0689bd0f34605e58bb25db3c5bec4131670a
44,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,15484,15.352437488302462,36516,baseline,no accepted lower-cost boundary flood candidate,79cbe33e8a435616c89062e778863fa72e59bdc33432833626fbb97de7b29807
45,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,7428,16.0869880775274,1586,baseline,no accepted lower-cost boundary flood candidate,e38c9e4b2bc9d40df39665ad2934414f974c4ad2a0ae39f390291fe5c2f7258a
46,exp016_signature_scatternd_lookup,signature_scatternd_lookup,crop_or_resize,19001,15.147753111657469,59020,baseline,no accepted lower-cost boundary flood candidate,2084c1ea4b8c3b60d5d05dba2c416f8fc351254dcf4f972883e8e44248bf277c
47,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,3024,16.985664262700574,3823,baseline,no accepted lower-cost boundary flood candidate,239d68998cf692c7ed8ec2d0991ba236037e049f951b62b2a96c7b979f91ebfa
48,massimilianoghiotto_6254,baseline,crop_or_resize,5609,16.367872270491663,4683,baseline,no accepted lower-cost boundary flood candidate,010a8d8bad3f868c1dc1b32f62929c87cb98b880cf291e9ad90cbc8ab094099a
49,exp016_signature_scatternd_lookup,signature_scatternd_lookup,crop_or_resize,21136,15.041266973237894,64180,baseline,no accepted lower-cost boundary flood candidate,c8fa6a9ac9d402a460f3e9d77cb10e33d605a413827c92fca5a6e3b777a112e9
50,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,9147,15.878818764343636,18905,baseline,no accepted lower-cost boundary flood candidate,7e73a7225ff58a60cb9488d3e8c2c913c0e3e43c3c5d2eb07a813f8194be3efc
51,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,7484,16.07947731260602,15648,baseline,no accepted lower-cost boundary flood candidate,6a31d4b09b650b6bc9dd10b42e29a0c05d0f1fc2bfac719d8e4a890af7c95a0e
52,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,1228,17.886857891292912,1342,baseline,no accepted lower-cost boundary flood candidate,eaa6935a705434432f5c824b054299d8bb74920300df6a073ce1008f5dcc3b7c
53,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,30,21.598802618337846,199,baseline,no accepted lower-cost boundary flood candidate,75d840df9317bb0b3af9bbb578c18ffa62ede8d87214bc168b822a524dc30c0c
54,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,52412,14.133109148275524,127975,baseline,no accepted lower-cost boundary flood candidate,77df47c8eb85807ac86965ed3a2f8a7e81e951731f03fe6879c1f60653785d39
55,afr1ste_5689_artifact,baseline,same_shape_global_transform,26370,14.820017720652668,15660,baseline,no accepted lower-cost boundary flood candidate,401b593731841bd0de4616d239d91ff8f0d678402edb0d8642ca664178ff5c2e
56,massimilianoghiotto_6254,baseline,crop_or_resize,213,19.638707834290575,1004,baseline,no accepted lower-cost boundary flood candidate,ca045f982c0767ff66864b342ea52e291463fa98f1c31978f29864adac7ccc01
57,exp016_signature_scatternd_lookup,signature_scatternd_lookup,crop_or_resize,15460,15.353988677858586,47401,baseline,no accepted lower-cost boundary flood candidate,4c884b50890921934da3e2537bb7e687aaab06f326bac8e21028508690de1faf
58,afr1ste_5689_artifact,baseline,same_shape_global_transform,16105,15.313114938234701,14579,baseline,no accepted lower-cost boundary flood candidate,88a918f1f81d39e18d187eda626570201a3858651a1c58c1d4019cd9f7962c64
59,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,19164,15.139211201996988,45284,baseline,no accepted lower-cost boundary flood candidate,54d48f9e2beafca7e6b7a492fdd40d8aaa82ba4ec0c643a0f2ffa46e57e70ade
60,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,5581,16.372876749211567,2524,baseline,no accepted lower-cost boundary flood candidate,0e1745f47d9614c3e7846b04b62ef490805da2092f46d2fd51ef478f814928f9
61,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,18914,15.152342332424542,17113,baseline,no accepted lower-cost boundary flood candidate,b02e862976b178388c60fbf8edb95affe176512fdd4774901afa1cf390950c55
62,massimilianoghiotto_6254,baseline,same_shape_global_transform,30609,14.670950637656585,19486,baseline,no accepted lower-cost boundary flood candidate,b2c275ca23c1381da01ac4d21d6f71ab610b00efb8973971167bebb61b4f60de
63,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,26236,14.825112207586374,63397,baseline,no accepted lower-cost boundary flood candidate,b6cdc86dd5fc4d454e3a2d162f7b1707c09e94ce984d4ab12e9baae523350d79
64,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,10772,15.71529454606851,22638,baseline,no accepted lower-cost boundary flood candidate,89c1f3220bbd9a5686fc082d7f9aa36196eae57c65bf7f5547f6bd0cd35785a5
65,exp016_signature_scatternd_lookup,signature_scatternd_lookup,crop_or_resize,20964,15.049438040077943,62028,baseline,no accepted lower-cost boundary flood candidate,2b5eb9aa49d2212f26c226736f1819c07fd0fa81e42365f5d694edbc1a0752d7
66,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,10876,15.705686194247638,24996,baseline,no accepted lower-cost boundary flood candidate,3f8417ce11765bc39a4bf30d9b383130ce190c38f9e6d18b290d2d66ff14a7b8
67,massimilianoghiotto_6254,baseline,crop_or_resize,315,19.247427361174367,1053,baseline,no accepted lower-cost boundary flood candidate,988b4d005f09426a7fb6b169820d02368203d8b03fc7d1b80b4f44af49e395c4
68,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,12589,15.55942130423374,2203,baseline,no accepted lower-cost boundary flood candidate,27916bc7ec145fc23eff5ed5d953fc2b2b8b1722cda2bc96e9a4818155f670fe
69,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,18264,15.187312811790369,42536,baseline,no accepted lower-cost boundary flood candidate,941aaa84d1b152455f119a0527fae8c9af2ee3b8aed210974897c03ad863d47f
70,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,18940,15.15096863325993,45156,baseline,no accepted lower-cost boundary flood candidate,9f036eff9d6e8160278b71428812686af7b3f6d5dbe46a516d844f9f030f0fdb
71,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,9503,15.840637182788685,20578,baseline,no accepted lower-cost boundary flood candidate,353018ec78c633265cb05d79bde4ff7294b76bc0af259195f5d53916a2a15b2e
72,massimilianoghiotto_6254,baseline,crop_or_resize,1309,17.8229812340901,1389,baseline,no accepted lower-cost boundary flood candidate,46e5bc1b0d0b2bb9f86f8ccee655f01afe21ef05ba040d8bb9cce1482dd059d0
73,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,910,18.186555400489105,3870,baseline,no accepted lower-cost boundary flood candidate,991392cf02f9450481e5e836166795e50390595c68a1f05000ff7a4d6e1adb04
74,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,21825,15.009188619292196,2292,baseline,no accepted lower-cost boundary flood candidate,25d3b285a926e549241f2854dbebc1dc72ac0dd2eed66f4ee02c3ccd86a874f2
75,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,25852,14.839856753617214,62436,baseline,no accepted lower-cost boundary flood candidate,4d302de106e93b3c0492f5036e35622a58a2b599d6e37e5d2bc72d612556f2c1
76,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,7644,16.05832369463984,16481,baseline,no accepted lower-cost boundary flood candidate,5ae42f7388d1f8d18445dbf4d655bc9d3d54135551cb7ba2321a1a319ddd05c5
77,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,10492,15.741631659013235,24036,baseline,no accepted lower-cost boundary flood candidate,5e99583ac2a01aebf504f0952f86ae2dc5edb484088c41e6a358405ef5204142
78,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,11496,15.65024557224114,2275,baseline,no accepted lower-cost boundary flood candidate,37550dea4025b51a47612bc0f98d6d0cbadf3008f213592ea68f40e30569248c
79,exp016_signature_scatternd_lookup,signature_scatternd_lookup,crop_or_resize,12836,15.539990997770252,42569,baseline,no accepted lower-cost boundary flood candidate,b12cc181281fa4847bad6df93596243cdc05323f7bda5387f13931eb0d066266
80,massimilianoghiotto_6254,baseline,same_shape_global_transform,42082,14.352624625200743,12166,baseline,no accepted lower-cost boundary flood candidate,d1d6bc78c480777c1dd8e74cf752b5726109903c7a6097dc56759320e0f45705
81,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,2307,17.256296741826247,5225,baseline,no accepted lower-cost boundary flood candidate,17d3e0785d4fc44e8b80baaf991c35275e24c4c844bf1170dd6c6e6725f6294b
82,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,14421,15.42355924343793,31868,baseline,no accepted lower-cost boundary flood candidate,30c36f2809b4028b4dbec6707610acb799f311c67485a5a1f6382a041da1d6cb
83,massimilianoghiotto_6254,baseline,crop_or_resize,1800,17.504458056115745,7476,baseline,no accepted lower-cost boundary flood candidate,0e51c90a17c888d894ae9a0632a22ad6d06b14cdf2b5ab371ab23ae7a1a869e6
84,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,17596,15.22457311753139,39204,baseline,no accepted lower-cost boundary flood candidate,54820e4828bff0cf5c9371024b8bf6c49150e30217f45d2af461c0e0e9386b09
85,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,16927,15.263334740810903,39652,baseline,no accepted lower-cost boundary flood candidate,1b5a01899df0996c26ef0a3270d150c39cad1f9a624cf5669490202bacaed6ab
86,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,25857,14.83966336368449,4566,baseline,no accepted lower-cost boundary flood candidate,534022b42915e7a94b488ed3ed7c4328b1c6d323e88487a2b341cf923973ff04
87,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,368,19.09191706183107,433,baseline,no accepted lower-cost boundary flood candidate,9186c0ad0ce5668c83d32e5aa4b40feda7de197e46c3908d674976a335250eb1
