idx,output_shape,component_count,largest_ok,max_color_ok,max_color_matches_largest,largest_color,largest_size,largest_bbox,max_color,max_color_bbox
0,2x4,4,True,True,True,6,6,"6,3,8,7",6,"6,3,8,7"
1,2x2,3,False,False,True,2,7,"7,1,9,6",2,"7,1,9,6"
2,2x4,3,False,False,True,8,9,"7,0,9,7",8,"7,0,9,7"
3,3x4,3,False,False,True,4,8,"7,4,9,9",4,"7,4,9,9"
4,1x2,3,False,False,True,7,5,"6,0,8,3",7,"6,0,8,3"
5,3x2,3,False,False,True,6,9,"2,3,5,7",6,"2,3,5,7"
6,1x2,3,False,False,True,4,9,"6,1,8,6",4,"6,1,8,6"
7,3x4,3,True,True,True,9,12,"7,0,10,4",9,"7,0,10,4"
8,2x5,3,True,True,True,9,10,"2,5,4,10",9,"2,5,4,10"
9,2x4,3,True,True,True,4,8,"1,6,3,10",4,"1,6,3,10"
10,2x2,3,False,False,True,1,10,"1,5,4,9",1,"1,5,4,9"
11,5x2,3,True,True,True,8,10,"5,0,10,2",8,"5,0,10,2"
12,2x4,3,False,False,True,8,10,"6,5,10,8",8,"6,5,10,8"
13,2x2,3,False,False,True,7,9,"5,0,8,4",7,"5,0,8,4"
14,2x3,3,True,True,True,1,6,"1,6,3,9",1,"1,6,3,9"
15,3x1,3,False,False,True,1,8,"4,6,9,8",1,"4,6,9,8"
16,3x2,3,False,False,True,9,7,"0,0,2,4",9,"0,0,2,4"
17,2x2,3,False,False,True,8,9,"8,3,10,8",8,"8,3,10,8"
18,2x5,3,True,True,True,9,10,"5,2,7,7",9,"5,2,7,7"
19,2x5,3,True,True,True,3,10,"8,4,10,9",3,"8,4,10,9"
20,3x2,3,False,False,True,5,8,"8,0,10,5",5,"8,0,10,5"
21,3x4,3,True,True,True,6,12,"2,0,5,4",6,"2,0,5,4"
22,2x5,3,True,True,True,9,10,"0,3,2,8",9,"0,3,2,8"
23,4x2,3,False,False,True,6,10,"0,0,3,4",6,"0,0,3,4"
24,2x3,3,True,True,True,6,6,"2,2,4,5",6,"2,2,4,5"
25,2x4,3,False,False,True,2,9,"5,1,7,6",2,"5,1,7,6"
26,3x3,3,True,True,True,1,9,"2,5,5,8",1,"2,5,5,8"
27,2x3,3,False,False,True,1,7,"0,4,2,8",1,"0,4,2,8"
28,3x4,3,True,True,True,1,12,"3,2,6,6",1,"3,2,6,6"
29,3x4,3,True,True,True,9,12,"2,0,5,4",9,"2,0,5,4"
30,2x2,3,False,False,True,2,7,"7,5,9,9",2,"7,5,9,9"
31,2x2,3,False,False,True,6,7,"1,4,3,8",6,"1,4,3,8"
32,2x3,3,False,False,True,8,7,"0,4,2,8",8,"0,4,2,8"
33,3x3,3,True,True,True,9,8,"2,7,5,10",9,"2,7,5,10"
34,2x2,3,False,False,True,6,9,"3,0,5,5",6,"3,0,5,5"
35,2x5,3,True,True,True,6,10,"1,4,3,9",6,"1,4,3,9"
36,2x5,3,True,True,True,6,10,"2,3,4,8",6,"2,3,4,8"
37,3x4,3,True,True,True,9,12,"3,6,6,10",9,"3,6,6,10"
38,2x4,3,False,False,True,8,9,"1,0,4,4",8,"1,0,4,4"
39,3x4,3,True,True,True,3,12,"5,6,8,10",3,"5,6,8,10"
40,2x3,3,False,False,True,8,6,"1,3,3,7",8,"1,3,3,7"
41,3x4,3,True,True,True,6,12,"7,0,10,4",6,"7,0,10,4"
42,2x4,3,True,True,True,2,8,"8,4,10,8",2,"8,4,10,8"
43,3x2,3,False,False,True,7,7,"5,3,7,7",7,"5,3,7,7"
44,5x2,3,True,True,True,5,10,"1,5,6,7",5,"1,5,6,7"
45,2x2,3,False,False,True,3,9,"5,3,7,8",3,"5,3,7,8"
46,3x4,3,True,True,True,1,12,"0,1,3,5",1,"0,1,3,5"
47,2x1,3,False,False,True,3,8,"5,0,9,3",3,"5,0,9,3"
48,3x3,3,True,True,True,8,9,"6,0,9,3",8,"6,0,9,3"
49,2x4,3,False,False,True,6,9,"1,7,5,10",6,"1,7,5,10"
50,2x3,3,False,False,True,8,9,"1,5,3,10",8,"1,5,3,10"
51,4x3,3,True,True,True,3,12,"3,7,7,10",3,"3,7,7,10"
52,5x2,3,True,True,True,6,10,"0,7,5,9",6,"0,7,5,9"
53,2x5,3,True,True,True,1,10,"8,1,10,6",1,"8,1,10,6"
54,5x2,3,True,True,True,7,10,"4,8,9,10",7,"4,8,9,10"
