feature,keys,cells,majority_correct,accuracy,ambiguous_keys,top_ambiguous
dr+dc+h+w,534,4260,3356,0.787793427230047,270,"[{""key"": ""2|5|7|9"", ""hist"": {""0"": 18, ""1"": 9}, ""n"": 27}, {""key"": ""2|6|7|9"", ""hist"": {""0"": 21, ""1"": 6}, ""n"": 27}, {""key"": ""2|7|7|9"", ""hist"": {""0"": 10, ""1"": 17}, ""n"": 27}, {""key"": ""3|5|7|9"", ""hist"": {""0"": 19, ""1"": 8}, ""n"": 27}, {""key"": ""3|6|7|9"", ""hist"": {""0"": 19, ""1"": 8}, ""n"": 27}, {""key"": ""3|7|7|9"", ""hist"": {""0"": 11, ""1"": 16}, ""n"": 27}, {""key"": ""4|5|7|9"", ""hist"": {""1"": 9, ""0"": 17}, ""n"": 26}, {""key"": ""4|6|7|9"", ""hist"": {""0"": 13, ""1"": 13}, ""n"": 26}]"
dr+dc+h+w+in_color,2358,4260,3736,0.8769953051643192,437,"[{""key"": ""2|5|7|9|4"", ""hist"": {""0"": 6, ""1"": 1}, ""n"": 7}, {""key"": ""2|6|7|9|4"", ""hist"": {""1"": 2, ""0"": 5}, ""n"": 7}, {""key"": ""2|7|7|9|4"", ""hist"": {""1"": 6, ""0"": 1}, ""n"": 7}, {""key"": ""3|5|7|9|4"", ""hist"": {""1"": 2, ""0"": 5}, ""n"": 7}, {""key"": ""3|6|7|9|4"", ""hist"": {""1"": 3, ""0"": 4}, ""n"": 7}, {""key"": ""3|7|7|9|4"", ""hist"": {""1"": 4, ""0"": 3}, ""n"": 7}, {""key"": ""2|0|6|8|5"", ""hist"": {""1"": 3, ""0"": 3}, ""n"": 6}, {""key"": ""2|1|6|8|5"", ""hist"": {""1"": 3, ""0"": 3}, ""n"": 6}]"
dr+dc+h+w+rank,774,4260,3457,0.8115023474178403,339,"[{""key"": ""2|5|7|9|1"", ""hist"": {""0"": 17, ""1"": 6}, ""n"": 23}, {""key"": ""2|6|7|9|1"", ""hist"": {""0"": 18, ""1"": 5}, ""n"": 23}, {""key"": ""2|7|7|9|1"", ""hist"": {""0"": 9, ""1"": 14}, ""n"": 23}, {""key"": ""3|5|7|9|1"", ""hist"": {""0"": 18, ""1"": 5}, ""n"": 23}, {""key"": ""3|6|7|9|1"", ""hist"": {""0"": 17, ""1"": 6}, ""n"": 23}, {""key"": ""3|7|7|9|1"", ""hist"": {""0"": 11, ""1"": 12}, ""n"": 23}, {""key"": ""4|5|7|9|1"", ""hist"": {""1"": 5, ""0"": 17}, ""n"": 22}, {""key"": ""4|6|7|9|1"", ""hist"": {""0"": 12, ""1"": 10}, ""n"": 22}]"
row_parity+col_parity+in_color,36,4260,2599,0.610093896713615,36,"[{""key"": ""0|0|2"", ""hist"": {""0"": 63, ""1"": 95}, ""n"": 158}, {""key"": ""0|1|2"", ""hist"": {""0"": 66, ""1"": 92}, ""n"": 158}, {""key"": ""0|0|8"", ""hist"": {""1"": 100, ""0"": 52}, ""n"": 152}, {""key"": ""0|1|8"", ""hist"": {""0"": 65, ""1"": 87}, ""n"": 152}, {""key"": ""1|0|2"", ""hist"": {""0"": 65, ""1"": 83}, ""n"": 148}, {""key"": ""1|1|2"", ""hist"": {""0"": 72, ""1"": 76}, ""n"": 148}, {""key"": ""1|0|7"", ""hist"": {""0"": 63, ""1"": 77}, ""n"": 140}, {""key"": ""1|1|7"", ""hist"": {""1"": 83, ""0"": 57}, ""n"": 140}]"
dr+dc+nbr4,1875,4260,3690,0.8661971830985915,357,"[{""key"": ""3|6|2:2:2:2"", ""hist"": {""0"": 18, ""1"": 5}, ""n"": 23}, {""key"": ""3|6|8:8:8:8"", ""hist"": {""0"": 12, ""1"": 8}, ""n"": 20}, {""key"": ""3|6|4:4:4:4"", ""hist"": {""1"": 7, ""0"": 8}, ""n"": 15}, {""key"": ""3|0|8:8:0:8"", ""hist"": {""1"": 12, ""0"": 2}, ""n"": 14}, {""key"": ""3|1|8:8:8:8"", ""hist"": {""0"": 7, ""1"": 7}, ""n"": 14}, {""key"": ""3|2|8:8:8:8"", ""hist"": {""0"": 9, ""1"": 5}, ""n"": 14}, {""key"": ""3|7|2:2:2:2"", ""hist"": {""1"": 10, ""0"": 4}, ""n"": 14}, {""key"": ""2|6|2:2:2:2"", ""hist"": {""0"": 10, ""1"": 3}, ""n"": 13}]"
dr+dc+ud_pair+lr_pair,1875,4260,3690,0.8661971830985915,357,"[{""key"": ""3|6|2:2|2:2"", ""hist"": {""0"": 18, ""1"": 5}, ""n"": 23}, {""key"": ""3|6|8:8|8:8"", ""hist"": {""0"": 12, ""1"": 8}, ""n"": 20}, {""key"": ""3|6|4:4|4:4"", ""hist"": {""1"": 7, ""0"": 8}, ""n"": 15}, {""key"": ""3|0|8:8|0:8"", ""hist"": {""1"": 12, ""0"": 2}, ""n"": 14}, {""key"": ""3|1|8:8|8:8"", ""hist"": {""0"": 7, ""1"": 7}, ""n"": 14}, {""key"": ""3|2|8:8|8:8"", ""hist"": {""0"": 9, ""1"": 5}, ""n"": 14}, {""key"": ""3|7|2:2|2:2"", ""hist"": {""1"": 10, ""0"": 4}, ""n"": 14}, {""key"": ""2|6|2:2|2:2"", ""hist"": {""0"": 10, ""1"": 3}, ""n"": 13}]"
in_color+u+d+l+rr,627,4260,3378,0.7929577464788733,191,"[{""key"": ""2|2|2|2|2"", ""hist"": {""0"": 82, ""1"": 76}, ""n"": 158}, {""key"": ""8|8|8|8|8"", ""hist"": {""0"": 78, ""1"": 72}, ""n"": 150}, {""key"": ""7|7|7|7|7"", ""hist"": {""0"": 63, ""1"": 75}, ""n"": 138}, {""key"": ""4|4|4|4|4"", ""hist"": {""1"": 68, ""0"": 52}, ""n"": 120}, {""key"": ""9|9|9|9|9"", ""hist"": {""1"": 62, ""0"": 54}, ""n"": 116}, {""key"": ""5|5|5|5|5"", ""hist"": {""0"": 46, ""1"": 62}, ""n"": 108}, {""key"": ""6|6|6|6|6"", ""hist"": {""1"": 70, ""0"": 32}, ""n"": 102}, {""key"": ""3|3|3|3|3"", ""hist"": {""0"": 36, ""1"": 64}, ""n"": 100}]"
rank+u+d+l+rr,763,4260,3483,0.8176056338028169,218,"[{""key"": ""1|2|2|2|2"", ""hist"": {""0"": 74, ""1"": 50}, ""n"": 124}, {""key"": ""1|7|7|7|7"", ""hist"": {""0"": 59, ""1"": 53}, ""n"": 112}, {""key"": ""1|8|8|8|8"", ""hist"": {""0"": 69, ""1"": 39}, ""n"": 108}, {""key"": ""1|9|9|9|9"", ""hist"": {""1"": 45, ""0"": 51}, ""n"": 96}, {""key"": ""1|4|4|4|4"", ""hist"": {""0"": 46, ""1"": 44}, ""n"": 90}, {""key"": ""1|6|6|6|6"", ""hist"": {""1"": 43, ""0"": 29}, ""n"": 72}, {""key"": ""1|5|5|5|5"", ""hist"": {""0"": 38, ""1"": 28}, ""n"": 66}, {""key"": ""1|3|3|3|3"", ""hist"": {""0"": 18, ""1"": 40}, ""n"": 58}]"
dr+dc+h+w+in_color+nbr4,3194,4260,4004,0.939906103286385,234,"[{""key"": ""3|6|7|9|4|4:4:4:4"", ""hist"": {""1"": 3, ""0"": 3}, ""n"": 6}, {""key"": ""3|7|7|9|2|2:2:2:2"", ""hist"": {""1"": 3, ""0"": 3}, ""n"": 6}, {""key"": ""3|7|7|9|4|4:4:4:4"", ""hist"": {""1"": 4, ""0"": 2}, ""n"": 6}, {""key"": ""4|6|7|9|4|4:4:4:4"", ""hist"": {""1"": 3, ""0"": 3}, ""n"": 6}, {""key"": ""4|7|7|9|4|4:4:4:4"", ""hist"": {""1"": 5, ""0"": 1}, ""n"": 6}, {""key"": ""3|1|6|8|5|5:5:5:5"", ""hist"": {""1"": 4, ""0"": 1}, ""n"": 5}, {""key"": ""3|2|6|8|5|5:5:5:5"", ""hist"": {""1"": 4, ""0"": 1}, ""n"": 5}, {""key"": ""3|5|7|8|2|2:2:2:2"", ""hist"": {""0"": 4, ""1"": 1}, ""n"": 5}]"
