task_id,route,template_name,baseline_cost,candidate_cost,baseline_points,candidate_points,file_bytes,validation_status,status,reason,sha256,removed_initializers
100,crop_or_resize,unused_initializer_prune_removed_0,6536,6536,16.21491936346016,16.21491936346016,3692,266_pass_0_fail,no_cost_gain,candidate cost is not lower than baseline,8c748402a0b5a6ada7e59e17f0aea9d0c659dd4d2b8e6cddc78f00dd7f07cb54,0
242,crop_or_resize,unused_initializer_prune_removed_0,20119,20119,15.090580078810763,15.090580078810763,2028,266_pass_0_fail,no_cost_gain,candidate cost is not lower than baseline,2ba62b3b20f2f14cbf34680c9241953e5c07367e80eb12f0b1a25585320471fc,0
253,crop_or_resize,unused_initializer_prune_removed_0,48269,48269,14.215455188361384,14.215455188361384,4035,265_pass_0_fail,no_cost_gain,candidate cost is not lower than baseline,cb4eb126bc44ca50c4db62c5ca46f210b30579e62f34b1645d48c86f034cf661,0
271,crop_or_resize,unused_initializer_prune_removed_0,28991,28991,14.725259284025897,14.725259284025897,2976,267_pass_0_fail,no_cost_gain,candidate cost is not lower than baseline,670f4af2ee5f33ca35a994d02fbcd4cbca4595cecf099f014d3c94ec8999efca,0
