node_idx,op_type,output_idx,tensor,node_count,initializer_count,file_bytes,sha256
0,Cast,0,safe_name_12,2,0,8526,00d24f911b1be0ddc45bf7c66bba49b524be34c8c6412019ba9e955cded11ab2
228,Gather,0,safe_name_242,195,12,22977,5acd585ebaa146b5adf2bc1a3d8ad1e00027d4a2a571e3572050a7d19deab984
231,Gather,0,safe_name_245,204,12,23665,d414c287d0d92ecb08892e5ab00d427a5dde041737f4815a91621eb490d2224a
232,Cast,0,safe_name_246,205,12,23729,932e48ed1a3369340097b47a2980a362ca2012c5aefd428f2422db78c6110b09
