source,task_count,points_sum,avg_risk,gap_error_if_all_failed,tasks
exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,34,507.307627,1.512203,154.897627,017 020 026 036 044 045 051 058 065 077 080 110 114 115 117 128 133 134 144 157 161 178 182 206 212 245 248 267 284 296 357 358 370 383
kojimar_5800_minimal_blend,12,169.55678,1.948015,-182.85322,018 096 153 158 175 204 209 219 233 285 319 367
afr1ste_5689_artifact,36,554.550505,1.306193,202.140505,003 006 034 050 055 059 089 123 129 167 180 188 208 216 224 231 239 247 249 254 263 265 273 275 281 289 330 339 340 342 343 348 360 394 395 397
franksunp_blended_best,7,99.220953,1.956999,-253.189047,023 025 066 101 118 191 243
exp_b025_submit_safe_delta_union,4,57.486558,1.199933,-294.923442,062 145 255 268
vyanktesh_multi_source_output,2,32.639014,1.125165,-319.770986,001 295
needless090_4250_output,2,28.602435,1.377125,-323.807565,076 363
massimilianoghiotto_6254,303,4833.448346,1.353797,4481.038346,002 004 005 007 008 009 010 011 012 013 014 015 016 019 021 022 024 027 028 029 030 031 032 033 035 037 038 039 040 041 042 043 046 047 048 049 052 053 054 056 057 060 061 063 064 067 068 069 070 071 072 073 074 075 078 079 081 082 083 084 085 086 087 088 090 091 092 093 094 095 097 098 099 100 102 103 104 105 106 107 108 109 111 112 113 116 119 120 121 122 124 125 126 127 130 131 132 135 136 137 138 139 140 141 142 143 146 147 148 149 150 151 152 154 155 156 159 160 162 163 164 165 166 168 169 170 171 172 173 174 176 177 179 181 183 184 185 186 187 189 190 192 193 194 195 196 197 198 199 200 201 202 203 205 207 210 211 213 214 215 217 218 220 221 222 223 225 226 227 228 229 230 232 234 235 236 237 238 240 241 242 244 246 250 251 252 253 256 257 258 259 260 261 262 264 266 269 270 271 272 274 276 277 278 279 280 282 283 286 287 288 290 291 292 293 294 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 320 321 322 323 324 325 326 327 328 329 331 332 333 334 335 336 337 338 341 344 345 346 347 349 350 351 352 353 354 355 356 359 361 362 364 365 366 368 369 371 372 373 374 375 376 377 378 379 380 381 382 384 385 386 387 388 389 390 391 392 393 396 398 399 400
