task_id,cost,points
1,2843,17.047385
2,97293,13.514518
3,9102,15.883751
4,55020,14.084548
5,117225,13.32815
6,1631,17.603051
7,7271,16.108351
8,23289,14.944264
9,81241,13.694825
10,5016,16.479612
11,66247,13.898855
12,12639,15.555457
13,116882,13.33108
14,39049,14.427427
15,900,18.197605
16,10,22.697415
17,34889,14.540073
18,114578,13.350989
19,81346,13.693533
20,73049,13.801114
21,51223,14.156056
22,34821,14.542024
23,21433,15.027313
24,9080,15.886171
25,89286,13.6004
26,724,18.415209
27,36791,14.486991
28,8990,15.896132
29,97117,13.516328
30,11998,15.607505
31,18616,15.168223
32,3405,16.867
33,55161,14.081989
34,106316,13.425829
35,15363,15.360283
36,79944,13.710918
37,63726,13.937652
38,2193,17.306974
39,7772,16.041717
40,7868,16.029441
41,11769,15.626776
42,8518,15.950063
43,7119,16.129477
44,31706,14.635739
45,7425,16.087392
46,33426,14.582911
47,3024,16.985664
48,5609,16.367872
49,30489,14.674879
50,9475,15.843588
51,68429,13.866448
52,1228,17.886858
53,30,21.598803
54,150548,13.077963
55,26370,14.820018
56,213,19.638708
57,29304,14.714521
58,16086,15.314295
59,20387,15.077347
60,5581,16.372877
61,18914,15.152342
62,29409,14.710944
63,30732,14.66694
64,114153,13.354705
65,35095,14.534186
66,21408,15.02848
67,315,19.247427
68,12589,15.559421
69,84250,13.658456
70,66138,13.900501
71,129780,13.226404
72,1309,17.822981
73,910,18.186555
74,21825,15.009189
75,28487,14.742797
76,36184,14.503628
77,157494,13.032857
78,11496,15.650246
79,21383,15.029649
80,42055,14.353266
81,2307,17.256297
82,23479,14.936138
83,1800,17.504458
84,19513,15.121164
85,113178,13.363283
86,25857,14.839663
87,368,19.091917
88,72766,13.804996
89,49703,14.186179
90,63354,13.943507
91,51466,14.151323
92,46289,14.25734
93,15458,15.354118
94,10453,15.745356
95,910,18.186555
96,26948,14.798336
97,55812,14.070256
98,910,18.186555
99,4910,16.500971
100,6536,16.214919
101,65875,13.904486
102,12607,15.557993
103,193,19.73731
104,3682,16.788789
105,7055,16.138508
106,1164,17.940382
107,73131,13.799992
108,1800,17.504458
109,94878,13.539653
110,108361,13.406776
111,797,18.319145
112,59270,14.010141
113,30,21.598803
114,1250,17.869101
115,4119,16.676634
116,30,21.598803
117,17992,15.202318
118,60026,13.997467
119,16640,15.280435
120,910,18.186555
121,6530,16.215838
122,2510,17.171962
123,4104,16.680283
