task_id,route,compiler_lane,is_cropish,bucket,priority,strict_cost,gain_to_600,gain_to_250,example_count,input_shape_count,output_shape_count,max_output_area,min_output_area,median_output_area,max_input_area,grid_size_changed_examples,output_shape_hist
185,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,224.982127,59584,4.598213,5.473681,267,2,1,9,9,9,841,267,3x3:267
22,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,219.610463,34821,4.061046,4.936515,266,1,1,9,9,9,121,266,3x3:266
300,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,218.616969,77546,4.861697,5.737166,267,24,4,12,6,9,99,267,2x3:12;3x2:7;3x3:161;4x3:87
271,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,217.778111,28991,3.877811,4.75328,267,1,1,9,9,9,81,267,3x3:267
355,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,216.785013,11795,2.978501,3.85397,267,91,1,1,1,1,360,267,1x1:267
79,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,214.734218,21383,3.573422,4.448891,266,1,1,9,9,9,196,266,3x3:266
184,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,214.706624,38855,4.170662,5.046131,266,226,4,9,4,6,1365,266,2x2:65;2x3:63;3x2:73;3x3:65
346,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,214.276349,9178,2.727635,3.603104,267,63,1,1,1,1,144,267,1x1:267
242,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,214.124903,20119,3.51249,4.387959,266,1,1,9,9,9,256,266,3x3:266
391,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,213.155085,10021,2.815509,3.690977,267,6,1,3,3,3,240,267,3x1:267
130,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,211.801591,15948,3.280159,4.155628,265,1,1,9,9,9,81,265,3x3:265
218,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,209.550641,23202,3.655064,4.530533,266,1,4,9,4,6,441,266,2x2:65;2x3:62;3x2:73;3x3:66
48,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,209.351981,5609,2.235198,3.110667,270,16,1,1,1,1,64,270,1x1:270
134,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,209.275539,12388,3.027554,3.903023,266,104,1,9,9,9,900,266,3x3:266
153,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,208.278103,11212,2.92781,3.803279,265,1,1,9,9,9,100,265,3x3:265
100,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,207.88151,6536,2.388151,3.26362,266,1,1,4,4,4,100,266,2x2:266
291,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,206.757001,4327,1.9757,2.851169,265,47,1,1,1,1,324,265,1x1:265
274,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,205.603761,8581,2.660376,3.535845,269,70,1,9,9,9,168,269,3x3:269
263,crop_or_resize,CROP_SHAPE_COMPILER,True,P0_600_plausible,204.969945,8054,2.596994,3.472463,267,6,1,9,9,9,45,267,3x3:267
