task_id,priority,route,strict_cost,teacher_cost,gain_to_600,gain_to_250,teacher_gain_vs_strict,example_count,same_shape_rate,sparse_edit_rate,only_background_fill_rate,only_deletion_rate,bbox_preserved_rate,changed_count_median,changed_count_min,changed_count_max,shape_pair_count,output_shape_pair_count,dominant_output_shapes,dominant_change_pairs,compiler_lane,lowering_bias,first_probe
383,P0,sparse_edit_or_object_completion,128140,22235,5.363949039976864,6.239417777330766,1.7514557922482155,266,1.0,1.0,0.0,0.0,0.0,33.0,11,60,117,117,"{""(20, 20)"": 7, ""(21, 19)"": 7, ""(19, 15)"": 7, ""(16, 18)"": 6, ""(19, 16)"": 6, ""(17, 16)"": 6}","{""(0, 7)"": 578, ""(0, 9)"": 506, ""(0, 2)"": 462, ""(0, 4)"": 446, ""(0, 8)"": 397, ""(0, 1)"": 375}",L3_object_move_or_erase,object masks with small Gather/Slice; avoid large ScatterND,component correspondence and role-preserving copy/erase search
202,P0,sparse_edit_or_object_completion,125720,19206,5.344882835695357,6.220351573049259,1.8788344817135858,267,1.0,1.0,0.0,1.0,1.0,17,1,51,207,207,"{""(19, 14)"": 4, ""(20, 18)"": 4, ""(17, 20)"": 4, ""(14, 15)"": 3, ""(10, 35)"": 3, ""(15, 13)"": 3}","{""(2, 0)"": 601, ""(1, 0)"": 578, ""(7, 0)"": 565, ""(3, 0)"": 563, ""(8, 0)"": 548, ""(4, 0)"": 529}",L3_object_move_or_erase,object masks with small Gather/Slice; avoid large ScatterND,component correspondence and role-preserving copy/erase search
5,P0,sparse_edit_or_object_completion,117225,19387,5.274920788741639,6.150389526095541,1.7994924266185794,266,1.0,1.0,1.0,0.0,0.0,28.5,12,54,1,1,"{""(21, 21)"": 266}","{""(0, 3)"": 1083, ""(0, 2)"": 927, ""(0, 9)"": 912, ""(0, 7)"": 852, ""(0, 8)"": 840, ""(0, 6)"": 820}",L2_local_predicate_sparse_fill,small Conv kernels plus one Where; target cost 350-600,3x3/5x5 neighborhood predicate and color-role search
13,P0,sparse_edit_or_object_completion,116882,54111,5.271990502629452,6.147459239983354,0.7701273865072906,267,1.0,1.0,1.0,0.0,0.011235955056179775,40,10,141,129,129,"{""(11, 24)"": 7, ""(21, 10)"": 6, ""(10, 22)"": 6, ""(11, 30)"": 5, ""(22, 8)"": 5, ""(6, 20)"": 5}","{""(0, 2)"": 1732, ""(0, 3)"": 1555, ""(0, 7)"": 1494, ""(0, 1)"": 1428, ""(0, 4)"": 1426, ""(0, 8)"": 1321}",L2_local_predicate_sparse_fill,small Conv kernels plus one Where; target cost 350-600,3x3/5x5 neighborhood predicate and color-role search
18,P0,sparse_edit_or_object_completion,114578,17467,5.252081437540841,6.127550174894743,1.8809424273285966,266,1.0,1.0,0.0,0.0,0.011278195488721804,21.0,9,42,109,109,"{""(24, 24)"": 10, ""(23, 23)"": 9, ""(23, 22)"": 8, ""(24, 23)"": 7, ""(20, 22)"": 7, ""(20, 24)"": 6}","{""(5, 0)"": 525, ""(1, 0)"": 484, ""(3, 0)"": 432, ""(0, 5)"": 405, ""(4, 0)"": 387, ""(2, 0)"": 375}",L3_object_move_or_erase,object masks with small Gather/Slice; avoid large ScatterND,component correspondence and role-preserving copy/erase search
64,P0,sparse_edit_or_object_completion,114153,10771,5.248365277605384,6.123834014959286,2.3606823164707613,267,1.0,1.0,0.0,0.0,1.0,6,1,38,168,168,"{""(24, 17)"": 5, ""(19, 21)"": 4, ""(22, 9)"": 4, ""(18, 20)"": 4, ""(16, 13)"": 4, ""(14, 18)"": 3}","{""(7, 4)"": 119, ""(6, 8)"": 85, ""(6, 5)"": 78, ""(9, 4)"": 73, ""(1, 5)"": 72, ""(2, 8)"": 70}",L4_shape_crop_resize,constant or small shape-conditioned Slice/Gather/Pad; reject full-grid bbox GatherND,"shape rule, bbox anchor, fixed output-size crop/resize probe"
358,P0,sparse_edit_or_object_completion,113999,15757,5.247015300192187,6.122484037546089,1.97890496544629,265,1.0,1.0,1.0,0.0,0.0,23,12,35,22,22,"{""(12, 11)"": 22, ""(15, 14)"": 17, ""(13, 12)"": 16, ""(20, 19)"": 16, ""(10, 10)"": 16, ""(18, 18)"": 14}","{""(0, 4)"": 708, ""(0, 5)"": 705, ""(0, 1)"": 696, ""(0, 3)"": 695, ""(0, 7)"": 692, ""(0, 8)"": 673}",L2_local_predicate_sparse_fill,small Conv kernels plus one Where; target cost 350-600,3x3/5x5 neighborhood predicate and color-role search
85,P0,sparse_edit_or_object_completion,113178,16926,5.2397874243576315,6.1152561617115335,1.9001108993437281,265,1.0,1.0,0.0,1.0,1.0,19,3,55,18,18,"{""(16, 30)"": 22, ""(12, 20)"": 21, ""(9, 20)"": 18, ""(16, 20)"": 17, ""(15, 20)"": 16, ""(13, 20)"": 16}","{""(1, 0)"": 626, ""(2, 0)"": 619, ""(3, 0)"": 612, ""(8, 0)"": 594, ""(7, 0)"": 571, ""(9, 0)"": 559}",L3_object_move_or_erase,object masks with small Gather/Slice; avoid large ScatterND,component correspondence and role-preserving copy/erase search
205,P0,crop_or_resize,112313,30083,5.232115240164076,6.107583977517978,1.3173293882470034,266,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,258,25,"{""(9, 6)"": 20, ""(7, 9)"": 19, ""(8, 10)"": 16, ""(7, 7)"": 14, ""(10, 9)"": 13, ""(8, 9)"": 13}",{},L4_shape_crop_resize,constant or small shape-conditioned Slice/Gather/Pad; reject full-grid bbox GatherND,"shape rule, bbox anchor, fixed output-size crop/resize probe"
110,P0,same_shape_global_transform,109201,42363,5.2040158445440206,6.079484581897923,0.9469148810228063,266,1.0,1.0,1.0,0.0,1.0,57.0,28,106,1,1,"{""(29, 29)"": 266}","{""(0, 2)"": 4191, ""(0, 3)"": 3376, ""(0, 1)"": 2461, ""(0, 6)"": 2411, ""(0, 5)"": 1929, ""(0, 4)"": 504}",L2_local_predicate_sparse_fill,small Conv kernels plus one Where; target cost 350-600,3x3/5x5 neighborhood predicate and color-role search
