compiler_lane,task_count,gain_to_600_sum,gain_to_250_sum,strict_cost_sum,teacher_cost_sum,top_tasks
L4_shape_crop_resize,62,279.25447554942156,333.5335372653634,4607675,1436583,366 158 77 396 64 205 370 216 29 109
L2_local_predicate_sparse_fill,65,272.80087493177274,329.7063428597764,3563413,1378200,133 173 286 285 5 13 358 110 382 204
L3_object_move_or_erase,31,135.1762612763145,162.31579213428552,1887378,512976,71 383 202 18 85 34 128 25 69 234
L5_general_sparse_completion,20,75.30324292669786,92.81261767377589,746602,280023,54 208 11 70 330 182 368 44 156 163
L6_task_specific_or_defer,10,38.43775487599943,47.19244224953845,293791,142567,253 351 400 22 57 271 189 79 242 130
L1_static_sparse_background_fill,8,33.2387405727833,40.24249047161452,402688,64759,251 20 37 363 335 333 246 50
