task_id,shape,rank,rule,pass_count,fail_count,color_map
6,3x3,0,bbox_bottom_left_dr-1_dc-1_fliplr,0,266,
6,3x3,1,bbox_bottom_left_dr-1_dc-1_flipud,0,266,
6,3x3,2,bbox_bottom_left_dr-1_dc-1_id,0,266,
6,3x3,3,bbox_bottom_left_dr-1_dc-1_rot180,0,266,
6,3x3,4,bbox_bottom_left_dr-1_dc-1_rot270,0,266,
6,3x3,5,bbox_bottom_left_dr-1_dc-1_rot90,0,266,
6,3x3,6,bbox_bottom_left_dr-1_dc0_fliplr,0,266,
6,3x3,7,bbox_bottom_left_dr-1_dc0_flipud,0,266,
6,3x3,8,bbox_bottom_left_dr-1_dc0_id,0,266,
6,3x3,9,bbox_bottom_left_dr-1_dc0_rot180,0,266,
6,3x3,10,bbox_bottom_left_dr-1_dc0_rot270,0,266,
6,3x3,11,bbox_bottom_left_dr-1_dc0_rot90,0,266,
6,3x3,12,bbox_bottom_left_dr-1_dc1_fliplr,0,266,
6,3x3,13,bbox_bottom_left_dr-1_dc1_flipud,0,266,
6,3x3,14,bbox_bottom_left_dr-1_dc1_id,0,266,
6,3x3,15,bbox_bottom_left_dr-1_dc1_rot180,0,266,
6,3x3,16,bbox_bottom_left_dr-1_dc1_rot270,0,266,
6,3x3,17,bbox_bottom_left_dr-1_dc1_rot90,0,266,
6,3x3,18,bbox_bottom_left_dr0_dc-1_fliplr,0,266,
6,3x3,19,bbox_bottom_left_dr0_dc-1_flipud,0,266,
22,3x3,0,bbox_bottom_left_dr-1_dc-1_fliplr,0,266,
22,3x3,1,bbox_bottom_left_dr-1_dc-1_flipud,0,266,
22,3x3,2,bbox_bottom_left_dr-1_dc-1_id,0,266,
22,3x3,3,bbox_bottom_left_dr-1_dc-1_rot180,0,266,
22,3x3,4,bbox_bottom_left_dr-1_dc-1_rot270,0,266,
22,3x3,5,bbox_bottom_left_dr-1_dc-1_rot90,0,266,
22,3x3,6,bbox_bottom_left_dr-1_dc0_fliplr,0,266,
22,3x3,7,bbox_bottom_left_dr-1_dc0_flipud,0,266,
22,3x3,8,bbox_bottom_left_dr-1_dc0_id,0,266,
22,3x3,9,bbox_bottom_left_dr-1_dc0_rot180,0,266,
22,3x3,10,bbox_bottom_left_dr-1_dc0_rot270,0,266,
22,3x3,11,bbox_bottom_left_dr-1_dc0_rot90,0,266,
22,3x3,12,bbox_bottom_left_dr-1_dc1_fliplr,0,266,
22,3x3,13,bbox_bottom_left_dr-1_dc1_flipud,0,266,
22,3x3,14,bbox_bottom_left_dr-1_dc1_id,0,266,
22,3x3,15,bbox_bottom_left_dr-1_dc1_rot180,0,266,
22,3x3,16,bbox_bottom_left_dr-1_dc1_rot270,0,266,
22,3x3,17,bbox_bottom_left_dr-1_dc1_rot90,0,266,
22,3x3,18,bbox_bottom_left_dr0_dc-1_fliplr,0,266,
22,3x3,19,bbox_bottom_left_dr0_dc-1_flipud,0,266,
38,1x5,0,bbox_bottom_left_dr-1_dc-1_fliplr,0,266,
38,1x5,1,bbox_bottom_left_dr-1_dc-1_flipud,0,266,
38,1x5,2,bbox_bottom_left_dr-1_dc-1_id,0,266,
38,1x5,3,bbox_bottom_left_dr-1_dc0_fliplr,0,266,
38,1x5,4,bbox_bottom_left_dr-1_dc0_flipud,0,266,
38,1x5,5,bbox_bottom_left_dr-1_dc0_id,0,266,
38,1x5,6,bbox_bottom_left_dr-1_dc1_fliplr,0,266,
38,1x5,7,bbox_bottom_left_dr-1_dc1_flipud,0,266,
38,1x5,8,bbox_bottom_left_dr-1_dc1_id,0,266,
38,1x5,9,bbox_bottom_left_dr0_dc-1_fliplr,0,266,
38,1x5,10,bbox_bottom_left_dr0_dc-1_flipud,0,266,
38,1x5,11,bbox_bottom_left_dr0_dc-1_id,0,266,
38,1x5,12,bbox_bottom_left_dr0_dc0_fliplr,0,266,
38,1x5,13,bbox_bottom_left_dr0_dc0_flipud,0,266,
38,1x5,14,bbox_bottom_left_dr0_dc0_id,0,266,
38,1x5,15,bbox_bottom_left_dr0_dc1_fliplr,0,266,
38,1x5,16,bbox_bottom_left_dr0_dc1_flipud,0,266,
38,1x5,17,bbox_bottom_left_dr0_dc1_id,0,266,
38,1x5,18,bbox_bottom_left_dr1_dc-1_fliplr,0,266,
38,1x5,19,bbox_bottom_left_dr1_dc-1_flipud,0,266,
39,3x3,0,bbox_bottom_left_dr0_dc0_rot270,264,0,"0,1,2,3,4,5,6,7,8,9"
39,3x3,1,bbox_bottom_right_dr0_dc0_rot180,264,0,"0,1,2,3,4,5,6,7,8,9"
39,3x3,2,bbox_center_dr-1_dc-1_id,264,0,"0,1,2,3,4,5,6,7,8,9"
39,3x3,3,bbox_top_left_dr0_dc0_id,264,0,"0,1,2,3,4,5,6,7,8,9"
39,3x3,4,bbox_top_right_dr0_dc0_rot90,264,0,"0,1,2,3,4,5,6,7,8,9"
39,3x3,5,bbox_bottom_left_dr-1_dc-1_fliplr,0,264,
39,3x3,6,bbox_bottom_left_dr-1_dc-1_flipud,0,264,
39,3x3,7,bbox_bottom_left_dr-1_dc-1_id,0,264,
39,3x3,8,bbox_bottom_left_dr-1_dc-1_rot180,0,264,
39,3x3,9,bbox_bottom_left_dr-1_dc-1_rot270,0,264,
39,3x3,10,bbox_bottom_left_dr-1_dc-1_rot90,0,264,
39,3x3,11,bbox_bottom_left_dr-1_dc0_fliplr,0,264,
39,3x3,12,bbox_bottom_left_dr-1_dc0_flipud,0,264,
39,3x3,13,bbox_bottom_left_dr-1_dc0_id,0,264,
39,3x3,14,bbox_bottom_left_dr-1_dc0_rot180,0,264,
39,3x3,15,bbox_bottom_left_dr-1_dc0_rot270,0,264,
39,3x3,16,bbox_bottom_left_dr-1_dc0_rot90,0,264,
39,3x3,17,bbox_bottom_left_dr-1_dc1_fliplr,0,264,
39,3x3,18,bbox_bottom_left_dr-1_dc1_flipud,0,264,
39,3x3,19,bbox_bottom_left_dr-1_dc1_id,0,264,
48,1x1,0,bbox_bottom_left_dr-1_dc-1_fliplr,0,270,
48,1x1,1,bbox_bottom_left_dr-1_dc-1_flipud,0,270,
48,1x1,2,bbox_bottom_left_dr-1_dc-1_id,0,270,
48,1x1,3,bbox_bottom_left_dr-1_dc-1_rot180,0,270,
48,1x1,4,bbox_bottom_left_dr-1_dc-1_rot270,0,270,
48,1x1,5,bbox_bottom_left_dr-1_dc-1_rot90,0,270,
48,1x1,6,bbox_bottom_left_dr-1_dc0_fliplr,0,270,
48,1x1,7,bbox_bottom_left_dr-1_dc0_flipud,0,270,
48,1x1,8,bbox_bottom_left_dr-1_dc0_id,0,270,
48,1x1,9,bbox_bottom_left_dr-1_dc0_rot180,0,270,
48,1x1,10,bbox_bottom_left_dr-1_dc0_rot270,0,270,
48,1x1,11,bbox_bottom_left_dr-1_dc0_rot90,0,270,
48,1x1,12,bbox_bottom_left_dr-1_dc1_fliplr,0,270,
48,1x1,13,bbox_bottom_left_dr-1_dc1_flipud,0,270,
48,1x1,14,bbox_bottom_left_dr-1_dc1_id,0,270,
48,1x1,15,bbox_bottom_left_dr-1_dc1_rot180,0,270,
48,1x1,16,bbox_bottom_left_dr-1_dc1_rot270,0,270,
48,1x1,17,bbox_bottom_left_dr-1_dc1_rot90,0,270,
48,1x1,18,bbox_bottom_left_dr0_dc-1_fliplr,0,270,
48,1x1,19,bbox_bottom_left_dr0_dc-1_flipud,0,270,
56,1x1,0,bbox_bottom_left_dr-1_dc-1_fliplr,0,46,
56,1x1,1,bbox_bottom_left_dr-1_dc-1_flipud,0,46,
56,1x1,2,bbox_bottom_left_dr-1_dc-1_id,0,46,
56,1x1,3,bbox_bottom_left_dr-1_dc-1_rot180,0,46,
56,1x1,4,bbox_bottom_left_dr-1_dc-1_rot270,0,46,
56,1x1,5,bbox_bottom_left_dr-1_dc-1_rot90,0,46,
56,1x1,6,bbox_bottom_left_dr-1_dc0_fliplr,0,46,
56,1x1,7,bbox_bottom_left_dr-1_dc0_flipud,0,46,
56,1x1,8,bbox_bottom_left_dr-1_dc0_id,0,46,
56,1x1,9,bbox_bottom_left_dr-1_dc0_rot180,0,46,
56,1x1,10,bbox_bottom_left_dr-1_dc0_rot270,0,46,
56,1x1,11,bbox_bottom_left_dr-1_dc0_rot90,0,46,
56,1x1,12,bbox_bottom_left_dr-1_dc1_fliplr,0,46,
56,1x1,13,bbox_bottom_left_dr-1_dc1_flipud,0,46,
56,1x1,14,bbox_bottom_left_dr-1_dc1_id,0,46,
56,1x1,15,bbox_bottom_left_dr-1_dc1_rot180,0,46,
56,1x1,16,bbox_bottom_left_dr-1_dc1_rot270,0,46,
56,1x1,17,bbox_bottom_left_dr-1_dc1_rot90,0,46,
56,1x1,18,bbox_bottom_left_dr0_dc-1_fliplr,0,46,
56,1x1,19,bbox_bottom_left_dr0_dc-1_flipud,0,46,
79,3x3,0,bbox_bottom_left_dr-1_dc-1_fliplr,0,266,
