task_id,source,baseline_cost,new_cost,baseline_points,new_points,removed_initializers,baseline_file_bytes,new_file_bytes,status,reason
56,massimilianoghiotto_6254,213,213,19.638707834290575,19.638707834290575,0,1004,1004,unchanged,no unused initializers
57,massimilianoghiotto_6254,29304,29304,14.71452069554135,14.71452069554135,0,1988,1988,unchanged,no unused initializers
58,afr1ste_5689_artifact,16105,16105,15.313114938234701,15.313114938234701,0,14579,14579,unchanged,no unused initializers
59,afr1ste_5689_artifact,20387,20387,15.077347278202861,15.077347278202861,0,7242,7242,unchanged,no unused initializers
60,massimilianoghiotto_6254,5581,5581,16.372876749211567,16.372876749211567,0,2524,2524,unchanged,no unused initializers
61,massimilianoghiotto_6254,18914,18914,15.152342332424542,15.152342332424542,0,17113,17113,unchanged,no unused initializers
62,massimilianoghiotto_6254,30609,30609,14.670950637656585,14.670950637656585,0,19486,19486,unchanged,no unused initializers
63,massimilianoghiotto_6254,30732,30732,14.666940264012474,14.666940264012474,0,4431,4431,unchanged,no unused initializers
64,massimilianoghiotto_6254,114153,114153,13.354705067178468,13.354705067178468,0,8580,8580,unchanged,no unused initializers
65,massimilianoghiotto_6254,35109,35109,14.533787213157124,14.533787213157124,0,3215,3215,unchanged,no unused initializers
66,franksunp_blended_best,21408,21408,15.028480037072045,15.028480037072045,0,25831,25831,unchanged,no unused initializers
67,massimilianoghiotto_6254,315,315,19.247427361174367,19.247427361174367,0,1053,1053,unchanged,no unused initializers
68,massimilianoghiotto_6254,12589,12589,15.55942130423374,15.55942130423374,0,2203,2203,unchanged,no unused initializers
69,massimilianoghiotto_6254,84250,84250,13.658456151785392,13.658456151785392,0,48710,48710,unchanged,no unused initializers
70,massimilianoghiotto_6254,66138,66138,13.90050125280863,13.90050125280863,0,9304,9304,unchanged,no unused initializers
71,massimilianoghiotto_6254,129780,129780,13.22640401182484,13.22640401182484,0,13061,13061,unchanged,no unused initializers
72,massimilianoghiotto_6254,1309,1309,17.8229812340901,17.8229812340901,0,1389,1389,unchanged,no unused initializers
73,massimilianoghiotto_6254,910,910,18.186555400489105,18.186555400489105,0,3870,3870,unchanged,no unused initializers
74,massimilianoghiotto_6254,21825,21825,15.009188619292196,15.009188619292196,0,2292,2292,unchanged,no unused initializers
75,massimilianoghiotto_6254,28487,28487,14.742796878157792,14.742796878157792,0,6113,6113,unchanged,no unused initializers
76,needless090_4250_output,36184,36184,14.503627688842322,14.503627688842322,0,22903,22903,unchanged,no unused initializers
77,massimilianoghiotto_6254,157913,157913,13.030200472556263,13.030200472556263,0,9825,9825,unchanged,no unused initializers
78,massimilianoghiotto_6254,11496,11496,15.65024557224114,15.65024557224114,0,2275,2275,unchanged,no unused initializers
79,massimilianoghiotto_6254,21383,21383,15.029648507210364,15.029648507210364,0,3601,3601,unchanged,no unused initializers
80,massimilianoghiotto_6254,42082,42082,14.352624625200743,14.352624625200743,0,12166,12166,unchanged,no unused initializers
81,massimilianoghiotto_6254,2307,2307,17.256296741826247,17.256296741826247,0,5225,5225,unchanged,no unused initializers
82,massimilianoghiotto_6254,23479,23479,14.936138316402742,14.936138316402742,0,2070,2070,unchanged,no unused initializers
83,massimilianoghiotto_6254,1800,1800,17.504458056115745,17.504458056115745,0,7476,7476,unchanged,no unused initializers
84,massimilianoghiotto_6254,19513,19513,15.121163810905001,15.121163810905001,0,3361,3361,unchanged,no unused initializers
85,massimilianoghiotto_6254,113178,113178,13.36328292042622,13.36328292042622,0,3083,3083,unchanged,no unused initializers
86,massimilianoghiotto_6254,25857,25857,14.83966336368449,14.83966336368449,0,4566,4566,unchanged,no unused initializers
87,massimilianoghiotto_6254,368,368,19.09191706183107,19.09191706183107,0,433,433,unchanged,no unused initializers
88,massimilianoghiotto_6254,72766,72766,13.80499590787612,13.80499590787612,0,4857,4857,unchanged,no unused initializers
89,afr1ste_5689_artifact,49703,49703,14.186179427563964,14.186179427563964,0,15672,15672,unchanged,no unused initializers
90,massimilianoghiotto_6254,63354,63354,13.94350667496543,13.94350667496543,0,31419,31419,unchanged,no unused initializers
91,massimilianoghiotto_6254,51466,51466,14.151323325547068,14.151323325547068,0,5270,5270,unchanged,no unused initializers
92,massimilianoghiotto_6254,46290,46289,14.257318765974684,14.25734036914603,1,2534,2507,improved,ok
93,massimilianoghiotto_6254,15458,15458,15.354118052333183,15.354118052333183,0,6944,6944,unchanged,no unused initializers
94,massimilianoghiotto_6254,10453,10453,15.745355702467293,15.745355702467293,0,3609,3609,unchanged,no unused initializers
95,massimilianoghiotto_6254,910,910,18.186555400489105,18.186555400489105,0,3953,3953,unchanged,no unused initializers
96,kojimar_5800_minimal_blend,26948,26948,14.79833563791945,14.79833563791945,0,20402,20402,unchanged,no unused initializers
97,massimilianoghiotto_6254,55812,55812,14.070255820987903,14.070255820987903,0,1190,1190,unchanged,no unused initializers
98,massimilianoghiotto_6254,910,910,18.186555400489105,18.186555400489105,0,3880,3880,unchanged,no unused initializers
99,massimilianoghiotto_6254,4910,4910,16.500970779211436,16.500970779211436,0,19883,19883,unchanged,no unused initializers
100,massimilianoghiotto_6254,6536,6536,16.21491936346016,16.21491936346016,0,3692,3692,unchanged,no unused initializers
101,franksunp_blended_best,65875,65875,13.904485714156337,13.904485714156337,0,34098,34098,unchanged,no unused initializers
102,massimilianoghiotto_6254,12607,12607,15.55799250576873,15.55799250576873,0,7489,7489,unchanged,no unused initializers
103,massimilianoghiotto_6254,193,193,19.737309811095116,19.737309811095116,0,1251,1251,unchanged,no unused initializers
104,massimilianoghiotto_6254,3682,3682,16.788788638206977,16.788788638206977,0,4136,4136,unchanged,no unused initializers
105,massimilianoghiotto_6254,7055,7055,16.138508135713085,16.138508135713085,0,8010,8010,unchanged,no unused initializers
106,massimilianoghiotto_6254,1164,1164,17.940382371708615,17.940382371708615,0,2647,2647,unchanged,no unused initializers
107,massimilianoghiotto_6254,73131,73131,13.799992367549814,13.799992367549814,0,33960,33960,unchanged,no unused initializers
108,massimilianoghiotto_6254,1800,1800,17.504458056115745,17.504458056115745,0,7476,7476,unchanged,no unused initializers
109,massimilianoghiotto_6254,94878,94878,13.539652865248629,13.539652865248629,0,5912,5912,unchanged,no unused initializers
110,massimilianoghiotto_6254,109201,109201,13.399054500239831,13.399054500239831,0,25121,25121,unchanged,no unused initializers
111,massimilianoghiotto_6254,797,797,18.319145321209785,18.319145321209785,0,2007,2007,unchanged,no unused initializers
112,massimilianoghiotto_6254,59270,59270,14.010141445218116,14.010141445218116,0,5493,5493,unchanged,no unused initializers
113,massimilianoghiotto_6254,30,30,21.598802618337846,21.598802618337846,0,523,523,unchanged,no unused initializers
114,massimilianoghiotto_6254,1254,1254,17.865906278807135,17.865906278807135,0,4349,4349,unchanged,no unused initializers
115,massimilianoghiotto_6254,4122,4122,16.675906238549594,16.675906238549594,0,4708,4708,unchanged,no unused initializers
116,massimilianoghiotto_6254,30,30,21.598802618337846,21.598802618337846,0,503,503,unchanged,no unused initializers
117,massimilianoghiotto_6254,18454,18454,15.1769635718615,15.1769635718615,0,10768,10768,unchanged,no unused initializers
118,franksunp_blended_best,60026,60026,13.997466919324204,13.997466919324204,0,19659,19659,unchanged,no unused initializers
119,massimilianoghiotto_6254,16640,16640,15.280435285624801,15.280435285624801,0,11316,11316,unchanged,no unused initializers
120,massimilianoghiotto_6254,910,910,18.186555400489105,18.186555400489105,0,3880,3880,unchanged,no unused initializers
121,massimilianoghiotto_6254,6530,6530,16.215837777729526,16.215837777729526,0,3528,3528,unchanged,no unused initializers
122,massimilianoghiotto_6254,2510,2510,17.17196196787417,17.17196196787417,0,10280,10280,unchanged,no unused initializers
123,afr1ste_5689_artifact,4104,4104,16.680282613149394,16.680282613149394,0,9143,9143,unchanged,no unused initializers
124,massimilianoghiotto_6254,11673,11673,15.634966238347337,15.634966238347337,0,4882,4882,unchanged,no unused initializers
125,massimilianoghiotto_6254,13417,13417,15.495722161409528,15.495722161409528,0,3785,3785,unchanged,no unused initializers
126,massimilianoghiotto_6254,86091,86091,13.636839844664504,13.636839844664504,0,3870,3870,unchanged,no unused initializers
127,massimilianoghiotto_6254,900,900,18.197605236675688,18.197605236675688,0,3800,3800,unchanged,no unused initializers
128,massimilianoghiotto_6254,95042,95042,13.537925821853902,13.537925821853902,0,4030,4030,unchanged,no unused initializers
129,afr1ste_5689_artifact,807,807,18.306676331730053,18.306676331730053,0,997,997,unchanged,no unused initializers
130,massimilianoghiotto_6254,15948,15948,15.322911291498754,15.322911291498754,0,1742,1742,unchanged,no unused initializers
131,massimilianoghiotto_6254,44550,44550,14.295632567101045,14.295632567101045,0,10020,10020,unchanged,no unused initializers
132,massimilianoghiotto_6254,29458,29458,14.709279200950512,14.709279200950512,0,3465,3465,unchanged,no unused initializers
133,franksunp_blended_best,193923,193923,12.824783547959548,12.824783547959548,0,190542,190542,unchanged,no unused initializers
134,massimilianoghiotto_6254,12388,12388,15.575516458906906,15.575516458906906,0,9408,9408,unchanged,no unused initializers
135,massimilianoghiotto_6254,360,360,19.113895968549844,19.113895968549844,0,280,280,unchanged,no unused initializers
136,massimilianoghiotto_6254,4837,4837,16.515950027177016,16.515950027177016,0,3640,3640,unchanged,no unused initializers
137,massimilianoghiotto_6254,72472,72472,13.809044440650876,13.809044440650876,0,5213,5213,unchanged,no unused initializers
138,massimilianoghiotto_6254,48560,48467,14.20944457426662,14.211361567031112,7,8599,7673,improved,ok
139,massimilianoghiotto_6254,3630,3630,16.803012072741105,16.803012072741105,0,5416,5416,unchanged,no unused initializers
140,massimilianoghiotto_6254,368,368,19.09191706183107,19.09191706183107,0,433,433,unchanged,no unused initializers
141,massimilianoghiotto_6254,15819,15819,15.33103297180142,15.33103297180142,0,2986,2986,unchanged,no unused initializers
142,massimilianoghiotto_6254,1800,1800,17.504458056115745,17.504458056115745,0,7476,7476,unchanged,no unused initializers
143,massimilianoghiotto_6254,19441,19441,15.12486048297936,15.12486048297936,0,2635,2635,unchanged,no unused initializers
144,massimilianoghiotto_6254,786,786,18.333043207570793,18.333043207570793,0,1530,1530,unchanged,no unused initializers
145,afr1ste_5689_artifact,69757,69757,13.847226946929018,13.847226946929018,0,26837,26837,unchanged,no unused initializers
146,massimilianoghiotto_6254,2256,2256,17.27865138738205,17.27865138738205,0,2622,2622,unchanged,no unused initializers
147,massimilianoghiotto_6254,910,910,18.186555400489105,18.186555400489105,0,3870,3870,unchanged,no unused initializers
148,massimilianoghiotto_6254,22029,22029,14.99988495388028,14.99988495388028,0,10291,10291,unchanged,no unused initializers
149,massimilianoghiotto_6254,509,437,18.76755198344948,18.92006680490441,1,1365,1048,improved,ok
150,massimilianoghiotto_6254,1014,1014,18.078341815848873,18.078341815848873,0,1583,1583,unchanged,no unused initializers
151,massimilianoghiotto_6254,910,910,18.186555400489105,18.186555400489105,0,3929,3929,unchanged,no unused initializers
152,massimilianoghiotto_6254,1800,1800,17.504458056115745,17.504458056115745,0,7476,7476,unchanged,no unused initializers
153,kojimar_5800_minimal_blend,11212,11212,15.675260087715321,15.675260087715321,0,5740,5740,unchanged,no unused initializers
154,massimilianoghiotto_6254,45574,45574,14.27290734254795,14.27290734254795,0,9074,9074,unchanged,no unused initializers
155,massimilianoghiotto_6254,1014,1014,18.078341815848873,18.078341815848873,0,1583,1583,unchanged,no unused initializers
156,massimilianoghiotto_6254,26552,26552,14.81313964660019,14.81313964660019,0,47528,47528,unchanged,no unused initializers
157,kojimar_5800_minimal_blend,79930,79930,13.711093469379936,13.711093469379936,0,50746,50746,unchanged,no unused initializers
158,kojimar_5800_minimal_blend,182776,182776,12.883983361645681,12.883983361645681,0,177323,177323,unchanged,no unused initializers
159,massimilianoghiotto_6254,89501,89501,13.597994922615115,13.597994922615115,0,15010,15010,unchanged,no unused initializers
160,massimilianoghiotto_6254,4586,4586,16.56923653658215,16.56923653658215,0,2830,2830,unchanged,no unused initializers
161,massimilianoghiotto_6254,64647,64647,13.923303020588978,13.923303020588978,0,4933,4933,unchanged,no unused initializers
162,massimilianoghiotto_6254,63291,63291,13.944501582071068,13.944501582071068,0,2707,2707,unchanged,no unused initializers
163,massimilianoghiotto_6254,24085,24085,14.910655480935679,14.910655480935679,0,10179,10179,unchanged,no unused initializers
