task_id,template_name,route,baseline_cost,candidate_cost,baseline_points,candidate_points,file_bytes,validation_status,status,reason,sha256
286,signature_scatter_lookup,sparse_edit_or_object_completion,162199,110902,13.00342074458367,13.383597792559053,112611,23_pass_0_fail,improved,ok,0020ce9db09ec3044e955bed6d66316190c0564b66d8a27d9d474cf754ac262c
286,fixed_mask_rewrite,sparse_edit_or_object_completion,162199,,13.00342074458367,,,not_run,skipped,changed cell color conflict,
286,conv_color_map,sparse_edit_or_object_completion,162199,,13.00342074458367,,,not_run,skipped,conflicting color map,
286,constant_output,sparse_edit_or_object_completion,162199,,13.00342074458367,,,not_run,skipped,fit outputs differ,
77,fixed_geometry_identity,sparse_edit_or_object_completion,157913,,13.030200472556263,,,not_run,skipped,transform does not fit,
77,fixed_geometry_flip_h,sparse_edit_or_object_completion,157913,,13.030200472556263,,,not_run,skipped,transform does not fit,
77,fixed_geometry_flip_w,sparse_edit_or_object_completion,157913,,13.030200472556263,,,not_run,skipped,transform does not fit,
77,fixed_geometry_transpose_hw,sparse_edit_or_object_completion,157913,,13.030200472556263,,,not_run,skipped,transform does not fit,
77,fixed_geometry_rot90,sparse_edit_or_object_completion,157913,,13.030200472556263,,,not_run,skipped,transform does not fit,
77,fixed_geometry_rot180,sparse_edit_or_object_completion,157913,,13.030200472556263,,,not_run,skipped,transform does not fit,
77,fixed_geometry_rot270,sparse_edit_or_object_completion,157913,,13.030200472556263,,,not_run,skipped,transform does not fit,
77,signature_scatter_lookup,sparse_edit_or_object_completion,157913,76589,13.030200472556263,13.753791257716394,10692,24_pass_0_fail,improved,ok,6474db9be4752fd0ffb96b5ceb31bbf2b49ed85c834d935b37b453f5c4a13381
77,fixed_mask_rewrite,sparse_edit_or_object_completion,157913,,13.030200472556263,,,not_run,skipped,fixed edit does not hold,
77,conv_color_map,sparse_edit_or_object_completion,157913,,13.030200472556263,,,not_run,skipped,conflicting color map,
77,constant_output,sparse_edit_or_object_completion,157913,,13.030200472556263,,,not_run,skipped,fit outputs differ,
285,fixed_geometry_identity,sparse_edit_or_object_completion,151996,,13.068390516307327,,,not_run,skipped,transform does not fit,
285,fixed_geometry_flip_h,sparse_edit_or_object_completion,151996,,13.068390516307327,,,not_run,skipped,transform does not fit,
285,fixed_geometry_flip_w,sparse_edit_or_object_completion,151996,,13.068390516307327,,,not_run,skipped,transform does not fit,
285,fixed_geometry_transpose_hw,sparse_edit_or_object_completion,151996,,13.068390516307327,,,not_run,skipped,transform does not fit,
285,fixed_geometry_rot90,sparse_edit_or_object_completion,151996,,13.068390516307327,,,not_run,skipped,transform does not fit,
285,fixed_geometry_rot180,sparse_edit_or_object_completion,151996,,13.068390516307327,,,not_run,skipped,transform does not fit,
285,fixed_geometry_rot270,sparse_edit_or_object_completion,151996,,13.068390516307327,,,not_run,skipped,transform does not fit,
285,signature_scatter_lookup,sparse_edit_or_object_completion,151996,81220,13.068390516307327,13.695083198759711,22909,24_pass_0_fail,improved,ok,1f1ba478797eb1bde19b677bfc537f62abcab6d7026c5ac2df62e89edd47b5da
285,fixed_mask_rewrite,sparse_edit_or_object_completion,151996,,13.068390516307327,,,not_run,skipped,changed cell color conflict,
285,conv_color_map,sparse_edit_or_object_completion,151996,,13.068390516307327,,,not_run,skipped,conflicting color map,
285,constant_output,sparse_edit_or_object_completion,151996,,13.068390516307327,,,not_run,skipped,fit outputs differ,
54,fixed_geometry_identity,sparse_edit_or_object_completion,150548,,13.07796275080141,,,not_run,skipped,transform does not fit,
54,fixed_geometry_flip_h,sparse_edit_or_object_completion,150548,,13.07796275080141,,,not_run,skipped,transform does not fit,
54,fixed_geometry_flip_w,sparse_edit_or_object_completion,150548,,13.07796275080141,,,not_run,skipped,transform does not fit,
54,fixed_geometry_transpose_hw,sparse_edit_or_object_completion,150548,,13.07796275080141,,,not_run,skipped,transform does not fit,
54,fixed_geometry_rot90,sparse_edit_or_object_completion,150548,,13.07796275080141,,,not_run,skipped,transform does not fit,
54,fixed_geometry_rot180,sparse_edit_or_object_completion,150548,,13.07796275080141,,,not_run,skipped,transform does not fit,
54,fixed_geometry_rot270,sparse_edit_or_object_completion,150548,,13.07796275080141,,,not_run,skipped,transform does not fit,
54,signature_scatter_lookup,sparse_edit_or_object_completion,150548,90855,13.07796275080141,13.582979891916843,52379,24_pass_0_fail,improved,ok,84e32e1a82b2f0804b132eb06a8071b1b3c872007818f6b86bba985492930453
54,fixed_mask_rewrite,sparse_edit_or_object_completion,150548,,13.07796275080141,,,not_run,skipped,changed cell color conflict,
54,conv_color_map,sparse_edit_or_object_completion,150548,,13.07796275080141,,,not_run,skipped,conflicting color map,
54,constant_output,sparse_edit_or_object_completion,150548,,13.07796275080141,,,not_run,skipped,fit outputs differ,
396,fixed_geometry_identity,crop_or_resize,143389,,13.126683504302262,,,not_run,skipped,transform does not fit,
396,fixed_geometry_flip_h,crop_or_resize,143389,,13.126683504302262,,,not_run,skipped,transform does not fit,
396,fixed_geometry_flip_w,crop_or_resize,143389,,13.126683504302262,,,not_run,skipped,transform does not fit,
396,fixed_geometry_transpose_hw,crop_or_resize,143389,,13.126683504302262,,,not_run,skipped,transform does not fit,
396,fixed_geometry_rot90,crop_or_resize,143389,,13.126683504302262,,,not_run,skipped,transform does not fit,
396,fixed_geometry_rot180,crop_or_resize,143389,,13.126683504302262,,,not_run,skipped,transform does not fit,
396,fixed_geometry_rot270,crop_or_resize,143389,,13.126683504302262,,,not_run,skipped,transform does not fit,
396,signature_scatter_lookup,crop_or_resize,143389,86741,13.126683504302262,13.629318053970618,50181,24_pass_0_fail,improved,ok,8faadc3b7f83bdb15fef2b223f4645384b2dfe360636d4eaeec5e1f03a3ef884
396,fixed_slice_crop,crop_or_resize,143389,,13.126683504302262,,,not_run,skipped,no common fixed crop,
396,constant_output,crop_or_resize,143389,,13.126683504302262,,,not_run,skipped,fit outputs differ,
396,conv_color_map,crop_or_resize,143389,,13.126683504302262,,,not_run,skipped,shape mismatch,
71,fixed_geometry_identity,sparse_edit_or_object_completion,129780,,13.22640401182484,,,not_run,skipped,transform does not fit,
71,fixed_geometry_flip_h,sparse_edit_or_object_completion,129780,,13.22640401182484,,,not_run,skipped,transform does not fit,
71,fixed_geometry_flip_w,sparse_edit_or_object_completion,129780,,13.22640401182484,,,not_run,skipped,transform does not fit,
71,fixed_geometry_transpose_hw,sparse_edit_or_object_completion,129780,,13.22640401182484,,,not_run,skipped,transform does not fit,
71,fixed_geometry_rot90,sparse_edit_or_object_completion,129780,,13.22640401182484,,,not_run,skipped,transform does not fit,
71,fixed_geometry_rot180,sparse_edit_or_object_completion,129780,,13.22640401182484,,,not_run,skipped,transform does not fit,
71,fixed_geometry_rot270,sparse_edit_or_object_completion,129780,,13.22640401182484,,,not_run,skipped,transform does not fit,
71,signature_scatter_lookup,sparse_edit_or_object_completion,129780,76482,13.22640401182484,13.755189301989024,9396,23_pass_0_fail,improved,ok,836005f420b68090dc654c7b0a0711b8329aeb6296189a3eaf749eb1220ea6a3
71,fixed_mask_rewrite,sparse_edit_or_object_completion,129780,,13.22640401182484,,,not_run,skipped,fixed edit does not hold,
71,conv_color_map,sparse_edit_or_object_completion,129780,,13.22640401182484,,,not_run,skipped,conflicting color map,
71,constant_output,sparse_edit_or_object_completion,129780,,13.22640401182484,,,not_run,skipped,fit outputs differ,
383,fixed_geometry_identity,sparse_edit_or_object_completion,128140,,13.239121304806988,,,not_run,skipped,transform does not fit,
383,fixed_geometry_flip_h,sparse_edit_or_object_completion,128140,,13.239121304806988,,,not_run,skipped,transform does not fit,
383,fixed_geometry_flip_w,sparse_edit_or_object_completion,128140,,13.239121304806988,,,not_run,skipped,transform does not fit,
383,fixed_geometry_transpose_hw,sparse_edit_or_object_completion,128140,,13.239121304806988,,,not_run,skipped,transform does not fit,
383,fixed_geometry_rot90,sparse_edit_or_object_completion,128140,,13.239121304806988,,,not_run,skipped,transform does not fit,
383,fixed_geometry_rot180,sparse_edit_or_object_completion,128140,,13.239121304806988,,,not_run,skipped,transform does not fit,
383,fixed_geometry_rot270,sparse_edit_or_object_completion,128140,,13.239121304806988,,,not_run,skipped,transform does not fit,
383,signature_scatter_lookup,sparse_edit_or_object_completion,128140,80650,13.239121304806988,13.702125916446645,22317,24_pass_0_fail,improved,ok,407dddcc4f75d5117a1d240441db8d90553ad5e9a833dddfa7e84bea9963d001
383,fixed_mask_rewrite,sparse_edit_or_object_completion,128140,,13.239121304806988,,,not_run,skipped,changed cell color conflict,
383,conv_color_map,sparse_edit_or_object_completion,128140,,13.239121304806988,,,not_run,skipped,conflicting color map,
383,constant_output,sparse_edit_or_object_completion,128140,,13.239121304806988,,,not_run,skipped,fit outputs differ,
202,fixed_geometry_identity,sparse_edit_or_object_completion,125720,,13.258187509088495,,,not_run,skipped,transform does not fit,
202,fixed_geometry_flip_h,sparse_edit_or_object_completion,125720,,13.258187509088495,,,not_run,skipped,transform does not fit,
202,fixed_geometry_flip_w,sparse_edit_or_object_completion,125720,,13.258187509088495,,,not_run,skipped,transform does not fit,
202,fixed_geometry_transpose_hw,sparse_edit_or_object_completion,125720,,13.258187509088495,,,not_run,skipped,transform does not fit,
202,fixed_geometry_rot90,sparse_edit_or_object_completion,125720,,13.258187509088495,,,not_run,skipped,transform does not fit,
202,fixed_geometry_rot180,sparse_edit_or_object_completion,125720,,13.258187509088495,,,not_run,skipped,transform does not fit,
202,fixed_geometry_rot270,sparse_edit_or_object_completion,125720,,13.258187509088495,,,not_run,skipped,transform does not fit,
202,signature_scatter_lookup,sparse_edit_or_object_completion,125720,80176,13.258187509088495,13.708020502800494,19117,22_pass_0_fail,improved,ok,30af9fcca78a513e118ecf751b528d75cd77a72d58c07153342e9ad7824487ba
202,fixed_mask_rewrite,sparse_edit_or_object_completion,125720,,13.258187509088495,,,not_run,skipped,fixed edit does not hold,
202,conv_color_map,sparse_edit_or_object_completion,125720,,13.258187509088495,,,not_run,skipped,conflicting color map,
202,constant_output,sparse_edit_or_object_completion,125720,,13.258187509088495,,,not_run,skipped,fit outputs differ,
5,fixed_geometry_identity,sparse_edit_or_object_completion,117225,,13.328149556042213,,,not_run,skipped,transform does not fit,
5,fixed_geometry_flip_h,sparse_edit_or_object_completion,117225,,13.328149556042213,,,not_run,skipped,transform does not fit,
5,fixed_geometry_flip_w,sparse_edit_or_object_completion,117225,,13.328149556042213,,,not_run,skipped,transform does not fit,
5,fixed_geometry_transpose_hw,sparse_edit_or_object_completion,117225,,13.328149556042213,,,not_run,skipped,transform does not fit,
5,fixed_geometry_rot90,sparse_edit_or_object_completion,117225,,13.328149556042213,,,not_run,skipped,transform does not fit,
5,fixed_geometry_rot180,sparse_edit_or_object_completion,117225,,13.328149556042213,,,not_run,skipped,transform does not fit,
5,fixed_geometry_rot270,sparse_edit_or_object_completion,117225,,13.328149556042213,,,not_run,skipped,transform does not fit,
5,signature_scatter_lookup,sparse_edit_or_object_completion,117225,79847,13.328149556042213,13.712132417507211,19349,24_pass_0_fail,improved,ok,b42e47b81c3e7dfe1a4a41aef53d1e02f41bcab44beaa650a79e7940472b791d
5,fixed_mask_rewrite,sparse_edit_or_object_completion,117225,,13.328149556042213,,,not_run,skipped,changed cell color conflict,
5,conv_color_map,sparse_edit_or_object_completion,117225,,13.328149556042213,,,not_run,skipped,conflicting color map,
5,constant_output,sparse_edit_or_object_completion,117225,,13.328149556042213,,,not_run,skipped,fit outputs differ,
13,fixed_geometry_identity,sparse_edit_or_object_completion,116882,,13.3310798421544,,,not_run,skipped,transform does not fit,
13,fixed_geometry_flip_h,sparse_edit_or_object_completion,116882,,13.3310798421544,,,not_run,skipped,transform does not fit,
13,fixed_geometry_flip_w,sparse_edit_or_object_completion,116882,,13.3310798421544,,,not_run,skipped,transform does not fit,
13,fixed_geometry_transpose_hw,sparse_edit_or_object_completion,116882,,13.3310798421544,,,not_run,skipped,transform does not fit,
13,fixed_geometry_rot90,sparse_edit_or_object_completion,116882,,13.3310798421544,,,not_run,skipped,transform does not fit,
13,fixed_geometry_rot180,sparse_edit_or_object_completion,116882,,13.3310798421544,,,not_run,skipped,transform does not fit,
13,fixed_geometry_rot270,sparse_edit_or_object_completion,116882,,13.3310798421544,,,not_run,skipped,transform does not fit,
