rule,pass_count,fail_count
bbox_area_max,266,0
count_max,248,18
mode_low,248,18
rank0,248,18
mode_high,244,22
bbox_w_max,207,59
bbox_h_max,190,76
c0_min,170,96
r0_min,160,106
on_edge_max,141,125
r1_max,137,129
c1_max,136,130
on_edge_min,133,133
r1_min,131,135
c1_min,127,139
r0_max,110,156
c0_max,96,170
bbox_h_min,74,192
bbox_w_min,56,210
count_min,22,244
rank1,18,248
bbox_area_min,0,266
