phase,scope_top_n,target_cost,projected_gain,projected_local,gap_to_7700
phase1_6500_bridge,100,9000,133.5622630025353,6613.864740941299,1086.1352590587012
phase2_7000_submit_safe,200,3000,396.07270571227934,6876.375183651043,823.6248163489572
phase3_7400_private_like,320,1000,829.3048408377784,7309.607318776541,390.39268122345857
phase4_7700_proof,400,250,1354.4319988997806,7834.734476838544,-134.73447683854374
